data_type	comparison	model	feature_id	species	n_selected	selection_frequency
Abundance	CIN_vs_Ca	Boruta_RF	Erythrobacter_cryptus	Erythrobacter_cryptus	30	1
Abundance	CIN_vs_Ca	Boruta_RF	JACESI01_sp013911885	JACESI01_sp013911885	30	1
Abundance	CIN_vs_Ca	Boruta_RF	Methyloversatilis_universalis	Methyloversatilis_universalis	30	1
Abundance	CIN_vs_Ca	Boruta_RF	Pseudomonas_E_edaphica	Pseudomonas_E_edaphica	30	1
Abundance	CIN_vs_Ca	Boruta_RF	Bacillus_A_bombysepticus	Bacillus_A_bombysepticus	29	0.966666666666667
Abundance	CIN_vs_Ca	Boruta_RF	Pseudomonas_E_viridiflava	Pseudomonas_E_viridiflava	28	0.933333333333333
Abundance	CIN_vs_Ca	Boruta_RF	Zhizhongheella_caldifontis	Zhizhongheella_caldifontis	22	0.733333333333333
Abundance	CIN_vs_Ca	Boruta_RF	Escherichia_flexneri	Escherichia_flexneri	13	0.433333333333333
Abundance	CIN_vs_Ca	Boruta_RF	Bifidobacterium_longum	Bifidobacterium_longum	11	0.366666666666667
Abundance	CIN_vs_Ca	Boruta_RF	Methyloversatilis_thermotolerans	Methyloversatilis_thermotolerans	10	0.333333333333333
Abundance	CIN_vs_Ca	Boruta_RF	Cutibacterium_acnes	Cutibacterium_acnes	9	0.3
Abundance	CIN_vs_Ca	Boruta_RF	Sphingobium_fontiphilum	Sphingobium_fontiphilum	7	0.233333333333333
Abundance	CIN_vs_Ca	Boruta_RF	CV81_sp003506635	CV81_sp003506635	5	0.166666666666667
Abundance	CIN_vs_Ca	Boruta_RF	Corynebacterium_mucifaciens	Corynebacterium_mucifaciens	5	0.166666666666667
Abundance	CIN_vs_Ca	Boruta_RF	Acidovorax_temperans	Acidovorax_temperans	2	0.0666666666666667
Abundance	CIN_vs_Ca	Boruta_RF	Lactiplantibacillus_plantarum	Lactiplantibacillus_plantarum	2	0.0666666666666667
Abundance	CIN_vs_Ca	Boruta_RF	Methyloversatilis_discipulorum	Methyloversatilis_discipulorum	2	0.0666666666666667
Abundance	CIN_vs_Ca	Boruta_RF	Methyloversatilis_discipulorum_A	Methyloversatilis_discipulorum_A	2	0.0666666666666667
Abundance	CIN_vs_Ca	Boruta_RF	Caballeronia_sordidicola_A	Caballeronia_sordidicola_A	1	0.0333333333333333
Abundance	CIN_vs_Ca	Boruta_RF	Cutibacterium_granulosum	Cutibacterium_granulosum	1	0.0333333333333333
Abundance	CIN_vs_Ca	Boruta_RF	Escherichia_coli	Escherichia_coli	1	0.0333333333333333
Abundance	CIN_vs_Ca	Boruta_RF	Salmonella_enterica	Salmonella_enterica	1	0.0333333333333333
Abundance	CIN_vs_Ca	Boruta_RF	UBA4763_sp002403455	UBA4763_sp002403455	1	0.0333333333333333
Abundance	Nor_vs_Ca	Boruta_RF	Acinetobacter_baumannii	Acinetobacter_baumannii	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Comamonas_acidovorans	Comamonas_acidovorans	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Erythrobacter_cryptus	Erythrobacter_cryptus	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Frigidibacter_sp002423245	Frigidibacter_sp002423245	30	1
Abundance	Nor_vs_Ca	Boruta_RF	JACESI01_sp013911885	JACESI01_sp013911885	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Methyloversatilis_discipulorum	Methyloversatilis_discipulorum	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Methyloversatilis_discipulorum_A	Methyloversatilis_discipulorum_A	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Methyloversatilis_thermotolerans	Methyloversatilis_thermotolerans	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Methyloversatilis_universalis	Methyloversatilis_universalis	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Methyloversatilis_universalis_A	Methyloversatilis_universalis_A	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Obscuribacter_phosphatis	Obscuribacter_phosphatis	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Pseudomonas_aeruginosa	Pseudomonas_aeruginosa	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Sphingobium_fontiphilum	Sphingobium_fontiphilum	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Sphingomonas_sp001557215	Sphingomonas_sp001557215	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Zhizhongheella_caldifontis	Zhizhongheella_caldifontis	30	1
Abundance	Nor_vs_Ca	Boruta_RF	Arenimonas_sp003241895	Arenimonas_sp003241895	29	0.966666666666667
Abundance	Nor_vs_Ca	Boruta_RF	Bacillus_A_bombysepticus	Bacillus_A_bombysepticus	28	0.933333333333333
Abundance	Nor_vs_Ca	Boruta_RF	Erythrobacter_colymbi	Erythrobacter_colymbi	28	0.933333333333333
Abundance	Nor_vs_Ca	Boruta_RF	Brevibacillus_agri	Brevibacillus_agri	27	0.9
Abundance	Nor_vs_Ca	Boruta_RF	Staphylococcus_aureus	Staphylococcus_aureus	20	0.666666666666667
Abundance	Nor_vs_Ca	Boruta_RF	Streptococcus_mutans	Streptococcus_mutans	17	0.566666666666667
Abundance	Nor_vs_Ca	Boruta_RF	Pseudarthrobacter_polychromogenes	Pseudarthrobacter_polychromogenes	16	0.533333333333333
Abundance	Nor_vs_Ca	Boruta_RF	Bacillus_A_cereus	Bacillus_A_cereus	15	0.5
Abundance	Nor_vs_Ca	Boruta_RF	Limosilactobacillus_fermentum	Limosilactobacillus_fermentum	15	0.5
Abundance	Nor_vs_Ca	Boruta_RF	Lactococcus_petauri	Lactococcus_petauri	14	0.466666666666667
Abundance	Nor_vs_Ca	Boruta_RF	Streptococcus_agalactiae	Streptococcus_agalactiae	14	0.466666666666667
Abundance	Nor_vs_Ca	Boruta_RF	Klebsiella_pneumoniae	Klebsiella_pneumoniae	7	0.233333333333333
Abundance	Nor_vs_Ca	Boruta_RF	Salmonella_enterica	Salmonella_enterica	7	0.233333333333333
Abundance	Nor_vs_Ca	Boruta_RF	Escherichia_coli	Escherichia_coli	3	0.1
Abundance	Nor_vs_Ca	Boruta_RF	Ferrovibrio_sp002796975	Ferrovibrio_sp002796975	3	0.1
Abundance	Nor_vs_Ca	Boruta_RF	Nocardia_cyriacigeorgica_D	Nocardia_cyriacigeorgica_D	3	0.1
Abundance	Nor_vs_Ca	Boruta_RF	Caballeronia_sordidicola_A	Caballeronia_sordidicola_A	2	0.0666666666666667
Abundance	Nor_vs_Ca	Boruta_RF	Ferrovibrio_terrae	Ferrovibrio_terrae	1	0.0333333333333333
Abundance	Nor_vs_Ca	Boruta_RF	Moesziomyces_antarcticus	Moesziomyces_antarcticus	1	0.0333333333333333
Abundance	Nor_vs_Ca	Boruta_RF	Stenotrophomonas_maltophilia_Q	Stenotrophomonas_maltophilia_Q	1	0.0333333333333333
Coverage	CIN_vs_Ca	Boruta_RF	Erythrobacter_cryptus	Erythrobacter_cryptus	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Ferrovibrio_sp002796975	Ferrovibrio_sp002796975	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Ferrovibrio_terrae	Ferrovibrio_terrae	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Frigidibacter_sp002423245	Frigidibacter_sp002423245	30	1
Coverage	CIN_vs_Ca	Boruta_RF	JACESI01_sp013911885	JACESI01_sp013911885	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Lacticaseibacillus_paracasei	Lacticaseibacillus_paracasei	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Methyloversatilis_discipulorum	Methyloversatilis_discipulorum	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Methyloversatilis_discipulorum_A	Methyloversatilis_discipulorum_A	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Methyloversatilis_thermotolerans	Methyloversatilis_thermotolerans	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Methyloversatilis_universalis	Methyloversatilis_universalis	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Methyloversatilis_universalis_A	Methyloversatilis_universalis_A	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Obscuribacter_phosphatis	Obscuribacter_phosphatis	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Pseudomonas_A_stutzeri	Pseudomonas_A_stutzeri	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Pseudomonas_aeruginosa	Pseudomonas_aeruginosa	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Sphingobium_fontiphilum	Sphingobium_fontiphilum	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Zhizhongheella_caldifontis	Zhizhongheella_caldifontis	30	1
Coverage	CIN_vs_Ca	Boruta_RF	Stenotrophomonas_maltophilia_Q	Stenotrophomonas_maltophilia_Q	24	0.8
Coverage	CIN_vs_Ca	Boruta_RF	Azoarcus_C_communis	Azoarcus_C_communis	9	0.3
Coverage	CIN_vs_Ca	Boruta_RF	Bacillus_A_bombysepticus	Bacillus_A_bombysepticus	5	0.166666666666667
Coverage	CIN_vs_Ca	Boruta_RF	Bacillus_A_cereus	Bacillus_A_cereus	5	0.166666666666667
Coverage	CIN_vs_Ca	Boruta_RF	Comamonas_acidovorans	Comamonas_acidovorans	2	0.0666666666666667
Coverage	CIN_vs_Ca	Boruta_RF	Acinetobacter_baumannii	Acinetobacter_baumannii	1	0.0333333333333333
Coverage	CIN_vs_Ca	Boruta_RF	Bordetella_hinzii	Bordetella_hinzii	1	0.0333333333333333
Coverage	CIN_vs_Ca	Boruta_RF	Brevundimonas_aurantiaca	Brevundimonas_aurantiaca	1	0.0333333333333333
Coverage	CIN_vs_Ca	Boruta_RF	Klebsiella_pneumoniae	Klebsiella_pneumoniae	1	0.0333333333333333
Coverage	CIN_vs_Ca	Boruta_RF	Pseudomonas_E_viridiflava	Pseudomonas_E_viridiflava	1	0.0333333333333333
Coverage	Nor_vs_Ca	Boruta_RF	Arenimonas_sp003241895	Arenimonas_sp003241895	30	1
Coverage	Nor_vs_Ca	Boruta_RF	Erythrobacter_cryptus	Erythrobacter_cryptus	30	1
Coverage	Nor_vs_Ca	Boruta_RF	JACESI01_sp013911885	JACESI01_sp013911885	30	1
Coverage	Nor_vs_Ca	Boruta_RF	Methyloversatilis_discipulorum	Methyloversatilis_discipulorum	30	1
Coverage	Nor_vs_Ca	Boruta_RF	Methyloversatilis_discipulorum_A	Methyloversatilis_discipulorum_A	30	1
Coverage	Nor_vs_Ca	Boruta_RF	Methyloversatilis_thermotolerans	Methyloversatilis_thermotolerans	30	1
Coverage	Nor_vs_Ca	Boruta_RF	Methyloversatilis_universalis	Methyloversatilis_universalis	30	1
Coverage	Nor_vs_Ca	Boruta_RF	Methyloversatilis_universalis_A	Methyloversatilis_universalis_A	30	1
Coverage	Nor_vs_Ca	Boruta_RF	Obscuribacter_phosphatis	Obscuribacter_phosphatis	30	1
Coverage	Nor_vs_Ca	Boruta_RF	Sphingobium_fontiphilum	Sphingobium_fontiphilum	30	1
Coverage	Nor_vs_Ca	Boruta_RF	Sphingomonas_sp001557215	Sphingomonas_sp001557215	30	1
Coverage	Nor_vs_Ca	Boruta_RF	Brevibacillus_agri	Brevibacillus_agri	29	0.966666666666667
Coverage	Nor_vs_Ca	Boruta_RF	Lactococcus_lactis	Lactococcus_lactis	29	0.966666666666667
Coverage	Nor_vs_Ca	Boruta_RF	Zhizhongheella_caldifontis	Zhizhongheella_caldifontis	29	0.966666666666667
Coverage	Nor_vs_Ca	Boruta_RF	Caballeronia_sordidicola_A	Caballeronia_sordidicola_A	28	0.933333333333333
Coverage	Nor_vs_Ca	Boruta_RF	Erythrobacter_colymbi	Erythrobacter_colymbi	25	0.833333333333333
Coverage	Nor_vs_Ca	Boruta_RF	Frigidibacter_sp002423245	Frigidibacter_sp002423245	22	0.733333333333333
Coverage	Nor_vs_Ca	Boruta_RF	Ferrovibrio_terrae	Ferrovibrio_terrae	11	0.366666666666667
Coverage	Nor_vs_Ca	Boruta_RF	Comamonas_acidovorans	Comamonas_acidovorans	10	0.333333333333333
Coverage	Nor_vs_Ca	Boruta_RF	Blastomonas_ursincola	Blastomonas_ursincola	8	0.266666666666667
Coverage	Nor_vs_Ca	Boruta_RF	Pseudomonas_aeruginosa	Pseudomonas_aeruginosa	7	0.233333333333333
Coverage	Nor_vs_Ca	Boruta_RF	Sulfurivermis_fontis	Sulfurivermis_fontis	6	0.2
Coverage	Nor_vs_Ca	Boruta_RF	Sphingomonas_hankookensis	Sphingomonas_hankookensis	5	0.166666666666667
Coverage	Nor_vs_Ca	Boruta_RF	Ferrovibrio_sp002796975	Ferrovibrio_sp002796975	4	0.133333333333333
