data_type	comparison	model	fold	held_out_sample	seed	prevalence_cutoff	pseudocount	n_prevalence_features	n_variable_features	selection_method	n_selected_features	boruta_error	best_mtry	best_oob_error	mtry_grid
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	20380824	0.1	2.26197554481297e-07	277	277	boruta	24		9	0.0344827586206897	2,4,8,9
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	20380924	0.1	2.26197554481297e-07	269	269	boruta	26		4	0.0344827586206897	2,4,5,8,10
Abundance	Nor_vs_Ca	Boruta_RF	3	Nor-1	20381024	0.1	2.26197554481297e-07	272	272	boruta	27		4	0.0689655172413793	2,4,5,9,10
Abundance	Nor_vs_Ca	Boruta_RF	4	Ca-13	20381124	0.1	2.26197554481297e-07	274	274	boruta	26		10	0.0344827586206897	2,4,5,8,10
Abundance	Nor_vs_Ca	Boruta_RF	5	Nor-4	20381224	0.1	2.26197554481297e-07	264	264	boruta	21		9	0.0689655172413793	2,4,7,9
Abundance	Nor_vs_Ca	Boruta_RF	6	Nor-10	20381324	0.1	2.26197554481297e-07	275	275	boruta	25		2	0.0689655172413793	2,4,5,8,10
Abundance	Nor_vs_Ca	Boruta_RF	7	Ca-14	20381424	0.1	2.26197554481297e-07	270	270	boruta	23		2	0.0689655172413793	2,4,7,9
Abundance	Nor_vs_Ca	Boruta_RF	8	Nor-13	20381524	0.1	2.26197554481297e-07	273	273	boruta	21		4	0.0689655172413793	2,4,7,9
Abundance	Nor_vs_Ca	Boruta_RF	9	Ca-10	20381624	0.1	2.26197554481297e-07	273	273	boruta	22		7	0.0344827586206897	2,4,7,9
Abundance	Nor_vs_Ca	Boruta_RF	10	Nor-14	20381724	0.1	4.42416538120083e-07	259	259	boruta	25		5	0.0344827586206897	2,4,5,8,10
Abundance	Nor_vs_Ca	Boruta_RF	11	Ca-3	20381824	0.1	2.26197554481297e-07	273	273	boruta	20		6	0.0344827586206897	2,4,6,8
Abundance	Nor_vs_Ca	Boruta_RF	12	Ca-4	20381924	0.1	2.26197554481297e-07	264	264	boruta	20		8	0.0689655172413793	2,4,6,8
Abundance	Nor_vs_Ca	Boruta_RF	13	Ca-11	20382024	0.1	2.26197554481297e-07	274	274	boruta	27		4	0.0344827586206897	2,4,5,9,10
Abundance	Nor_vs_Ca	Boruta_RF	14	Nor-11	20382124	0.1	2.26197554481297e-07	275	275	boruta	24		2	0.0344827586206897	2,4,8,9
Abundance	Nor_vs_Ca	Boruta_RF	15	Ca-9	20382224	0.1	2.26197554481297e-07	274	274	boruta	24		2	0.0689655172413793	2,4,8,9
Abundance	Nor_vs_Ca	Boruta_RF	16	Nor-7	20382324	0.1	2.26197554481297e-07	273	273	boruta	20		4	0.0689655172413793	2,4,6,8
Abundance	Nor_vs_Ca	Boruta_RF	17	Ca-7	20382424	0.1	2.26197554481297e-07	277	277	boruta	23		4	0.0344827586206897	2,4,7,9
Abundance	Nor_vs_Ca	Boruta_RF	18	Nor-12	20382524	0.1	2.26197554481297e-07	271	271	boruta	19		1	0.0689655172413793	1,2,3,4,6,8
Abundance	Nor_vs_Ca	Boruta_RF	19	Nor-6	20382624	0.1	2.26197554481297e-07	272	272	boruta	26		4	0.0689655172413793	2,4,5,8,10
Abundance	Nor_vs_Ca	Boruta_RF	20	Ca-6	20382724	0.1	2.26197554481297e-07	272	272	boruta	24		2	0.0689655172413793	2,4,8,9
Abundance	Nor_vs_Ca	Boruta_RF	21	Ca-12	20382824	0.1	2.26197554481297e-07	272	272	boruta	24		8	0.0344827586206897	2,4,8,9
Abundance	Nor_vs_Ca	Boruta_RF	22	Nor-15	20382924	0.1	2.26197554481297e-07	265	265	boruta	21		4	0.0689655172413793	2,4,7,9
Abundance	Nor_vs_Ca	Boruta_RF	23	Nor-9	20383024	0.1	2.26197554481297e-07	261	261	boruta	23		7	0.0689655172413793	2,4,7,9
Abundance	Nor_vs_Ca	Boruta_RF	24	Ca-8	20383124	0.1	2.26197554481297e-07	273	273	boruta	24		8	0.0689655172413793	2,4,8,9
Abundance	Nor_vs_Ca	Boruta_RF	25	Ca-2	20383224	0.1	2.26197554481297e-07	266	266	boruta	24		9	0	2,4,8,9
Abundance	Nor_vs_Ca	Boruta_RF	26	Nor-3	20383324	0.1	2.26197554481297e-07	276	276	boruta	23		4	0.0689655172413793	2,4,7,9
Abundance	Nor_vs_Ca	Boruta_RF	27	Nor-5	20383424	0.1	2.26197554481297e-07	262	262	boruta	26		2	0.0689655172413793	2,4,5,8,10
Abundance	Nor_vs_Ca	Boruta_RF	28	Nor-8	20383524	0.1	2.26197554481297e-07	272	272	boruta	26		8	0.0689655172413793	2,4,5,8,10
Abundance	Nor_vs_Ca	Boruta_RF	29	Ca-15	20383624	0.1	2.26197554481297e-07	276	276	boruta	24		9	0.0344827586206897	2,4,8,9
Abundance	Nor_vs_Ca	Boruta_RF	30	Nor-2	20383724	0.1	2.26197554481297e-07	273	273	boruta	19		3	0.0344827586206897	1,2,3,4,6,8
Abundance	CIN_vs_Ca	Boruta_RF	1	Ca-5	20390824	0.1	6.99361017150664e-07	210	210	boruta	8		1	0.0344827586206897	1,2,3,5
Abundance	CIN_vs_Ca	Boruta_RF	2	CIN-1	20390924	0.1	6.99361017150664e-07	211	211	boruta	10		1	0.0344827586206897	1,2,3,6
Abundance	CIN_vs_Ca	Boruta_RF	3	Ca-1	20391024	0.1	6.99361017150664e-07	206	206	boruta	10		1	0.0344827586206897	1,2,3,6
Abundance	CIN_vs_Ca	Boruta_RF	4	CIN-7	20391124	0.1	6.99361017150664e-07	194	194	boruta	12		1	0.0344827586206897	1,2,3,4,6
Abundance	CIN_vs_Ca	Boruta_RF	5	CIN-13	20391224	0.1	6.99361017150664e-07	212	212	boruta	9		1	0.0344827586206897	1,3,6
Abundance	CIN_vs_Ca	Boruta_RF	6	CIN-8	20391324	0.1	6.99361017150664e-07	205	205	boruta	11		2	0.0344827586206897	1,2,3,6
Abundance	CIN_vs_Ca	Boruta_RF	7	Ca-13	20391424	0.1	6.99361017150664e-07	209	209	boruta	11		1	0.0344827586206897	1,2,3,6
Abundance	CIN_vs_Ca	Boruta_RF	8	CIN-2	20391524	0.1	6.99361017150664e-07	205	205	boruta	8		1	0.0344827586206897	1,2,3,5
Abundance	CIN_vs_Ca	Boruta_RF	9	Ca-14	20391624	0.1	6.99361017150664e-07	203	203	boruta	9		3	0.0344827586206897	1,3,6
Abundance	CIN_vs_Ca	Boruta_RF	10	Ca-10	20391724	0.1	6.99361017150664e-07	208	208	boruta	8		1	0.0344827586206897	1,2,3,5
Abundance	CIN_vs_Ca	Boruta_RF	11	Ca-3	20391824	0.1	1.32079664237955e-06	205	205	boruta	8		3	0.0344827586206897	1,2,3,5
Abundance	CIN_vs_Ca	Boruta_RF	12	CIN-15	20391924	0.1	6.99361017150664e-07	201	201	boruta	9		3	0.0344827586206897	1,3,6
Abundance	CIN_vs_Ca	Boruta_RF	13	CIN-6	20392024	0.1	6.99361017150664e-07	212	212	boruta	7		1	0.0344827586206897	1,2,5
Abundance	CIN_vs_Ca	Boruta_RF	14	Ca-4	20392124	0.1	1.32079664237955e-06	202	202	boruta	7		2	0.0344827586206897	1,2,5
Abundance	CIN_vs_Ca	Boruta_RF	15	Ca-11	20392224	0.1	6.99361017150664e-07	207	207	boruta	6		2	0.0344827586206897	1,2,4
Abundance	CIN_vs_Ca	Boruta_RF	16	Ca-9	20392324	0.1	6.99361017150664e-07	208	208	boruta	10		1	0	1,2,3,6
Abundance	CIN_vs_Ca	Boruta_RF	17	CIN-3	20392424	0.1	6.99361017150664e-07	211	211	boruta	10		1	0.0344827586206897	1,2,3,6
Abundance	CIN_vs_Ca	Boruta_RF	18	CIN-10	20392524	0.1	6.99361017150664e-07	209	209	boruta	10		1	0	1,2,3,6
Abundance	CIN_vs_Ca	Boruta_RF	19	Ca-7	20392624	0.1	6.99361017150664e-07	211	211	boruta	11		1	0.0344827586206897	1,2,3,6
Abundance	CIN_vs_Ca	Boruta_RF	20	CIN-9	20392724	0.1	6.99361017150664e-07	200	200	boruta	8		1	0.0344827586206897	1,2,3,5
Abundance	CIN_vs_Ca	Boruta_RF	21	CIN-14	20392824	0.1	6.99361017150664e-07	199	199	boruta	11		1	0	1,2,3,6
Abundance	CIN_vs_Ca	Boruta_RF	22	Ca-6	20392924	0.1	6.99361017150664e-07	208	208	boruta	8		2	0.0344827586206897	1,2,3,5
Abundance	CIN_vs_Ca	Boruta_RF	23	Ca-12	20393024	0.1	6.99361017150664e-07	209	209	boruta	6		1	0.0344827586206897	1,2,4
Abundance	CIN_vs_Ca	Boruta_RF	24	Ca-8	20393124	0.1	6.99361017150664e-07	211	211	boruta	8		1	0	1,2,3,5
Abundance	CIN_vs_Ca	Boruta_RF	25	CIN-12	20393224	0.1	6.99361017150664e-07	206	206	boruta	10		2	0.0344827586206897	1,2,3,6
Abundance	CIN_vs_Ca	Boruta_RF	26	Ca-2	20393324	0.1	1.63184237335154e-06	200	200	boruta	9		1	0.0344827586206897	1,3,6
Abundance	CIN_vs_Ca	Boruta_RF	27	CIN-11	20393424	0.1	6.99361017150664e-07	210	210	boruta	11		1	0.0344827586206897	1,2,3,6
Abundance	CIN_vs_Ca	Boruta_RF	28	CIN-5	20393524	0.1	6.99361017150664e-07	208	208	boruta	9		1	0.0344827586206897	1,3,6
Abundance	CIN_vs_Ca	Boruta_RF	29	CIN-4	20393624	0.1	6.99361017150664e-07	203	203	boruta	10		1	0.0344827586206897	1,2,3,6
Abundance	CIN_vs_Ca	Boruta_RF	30	Ca-15	20393724	0.1	6.99361017150664e-07	209	209	boruta	8		1	0.0344827586206897	1,2,3,5
Coverage	Nor_vs_Ca	Boruta_RF	1	Ca-5	20480824	0.1	1.71585449553878e-05	277	277	boruta	18		1	0.0344827586206897	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	2	Ca-1	20480924	0.1	1.71585449553878e-05	269	269	boruta	20		6	0	2,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	3	Nor-1	20481024	0.1	1.71585449553878e-05	272	272	boruta	18		2	0.0344827586206897	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	4	Ca-13	20481124	0.1	1.71585449553878e-05	274	274	boruta	19		1	0.0689655172413793	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	5	Nor-4	20481224	0.1	1.71585449553878e-05	264	264	boruta	20		2	0.0344827586206897	2,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	6	Nor-10	20481324	0.1	1.71585449553878e-05	275	275	boruta	17		1	0.0344827586206897	1,2,3,4,5,8
Coverage	Nor_vs_Ca	Boruta_RF	7	Ca-14	20481424	0.1	1.71585449553878e-05	270	270	boruta	19		1	0.0344827586206897	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	8	Nor-13	20481524	0.1	1.91314329443275e-05	273	273	boruta	20		8	0	2,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	9	Ca-10	20481624	0.1	1.71585449553878e-05	273	273	boruta	18		6	0	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	10	Nor-14	20481724	0.1	1.71585449553878e-05	259	259	boruta	18		6	0.0344827586206897	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	11	Ca-3	20481824	0.1	1.71585449553878e-05	273	273	boruta	16		8	0	1,2,3,4,5,8
Coverage	Nor_vs_Ca	Boruta_RF	12	Ca-4	20481924	0.1	1.71585449553878e-05	264	264	boruta	19		2	0.0344827586206897	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	13	Ca-11	20482024	0.1	1.71585449553878e-05	274	274	boruta	18		1	0.0344827586206897	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	14	Nor-11	20482124	0.1	1.71585449553878e-05	275	275	boruta	18		1	0.0344827586206897	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	15	Ca-9	20482224	0.1	1.71585449553878e-05	274	274	boruta	18		1	0.0344827586206897	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	16	Nor-7	20482324	0.1	1.71585449553878e-05	273	273	boruta	17		4	0	1,2,3,4,5,8
Coverage	Nor_vs_Ca	Boruta_RF	17	Ca-7	20482424	0.1	1.71585449553878e-05	277	277	boruta	20		4	0.0344827586206897	2,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	18	Nor-12	20482524	0.1	1.71585449553878e-05	271	271	boruta	19		1	0.0344827586206897	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	19	Nor-6	20482624	0.1	1.71585449553878e-05	272	272	boruta	21		9	0.0344827586206897	2,4,7,9
Coverage	Nor_vs_Ca	Boruta_RF	20	Ca-6	20482724	0.1	1.71585449553878e-05	272	272	boruta	18		3	0.0344827586206897	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	21	Ca-12	20482824	0.1	1.71585449553878e-05	272	272	boruta	17		3	0.0344827586206897	1,2,3,4,5,8
Coverage	Nor_vs_Ca	Boruta_RF	22	Nor-15	20482924	0.1	1.71585449553878e-05	265	265	boruta	18		1	0.0344827586206897	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	23	Nor-9	20483024	0.1	1.71585449553878e-05	261	261	boruta	19		2	0.0689655172413793	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	24	Ca-8	20483124	0.1	1.71585449553878e-05	273	273	boruta	19		1	0.0344827586206897	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	25	Ca-2	20483224	0.1	1.71585449553878e-05	266	266	boruta	20		6	0	2,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	26	Nor-3	20483324	0.1	1.71585449553878e-05	276	276	boruta	17		1	0.0689655172413793	1,2,3,4,5,8
Coverage	Nor_vs_Ca	Boruta_RF	27	Nor-5	20483424	0.1	1.71585449553878e-05	262	262	boruta	18		2	0.0344827586206897	1,2,3,4,6,8
Coverage	Nor_vs_Ca	Boruta_RF	28	Nor-8	20483524	0.1	1.71585449553878e-05	272	272	boruta	18		2	0.0344827586206897	1,2,3,4,6,8
