data_type	comparison	model	fold	held_out_sample	selection_method	feature_id	species
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Pseudarthrobacter_polychromogenes	Pseudarthrobacter_polychromogenes
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Obscuribacter_phosphatis	Obscuribacter_phosphatis
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Bacillus_A_bombysepticus	Bacillus_A_bombysepticus
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Brevibacillus_agri	Brevibacillus_agri
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Limosilactobacillus_fermentum	Limosilactobacillus_fermentum
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Lactococcus_petauri	Lactococcus_petauri
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Streptococcus_agalactiae	Streptococcus_agalactiae
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Streptococcus_mutans	Streptococcus_mutans
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	JACESI01_sp013911885	JACESI01_sp013911885
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Frigidibacter_sp002423245	Frigidibacter_sp002423245
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Erythrobacter_colymbi	Erythrobacter_colymbi
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Erythrobacter_cryptus	Erythrobacter_cryptus
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Sphingobium_fontiphilum	Sphingobium_fontiphilum
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Sphingomonas_sp001557215	Sphingomonas_sp001557215
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Comamonas_acidovorans	Comamonas_acidovorans
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Zhizhongheella_caldifontis	Zhizhongheella_caldifontis
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Methyloversatilis_discipulorum	Methyloversatilis_discipulorum
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Methyloversatilis_discipulorum_A	Methyloversatilis_discipulorum_A
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Methyloversatilis_thermotolerans	Methyloversatilis_thermotolerans
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Methyloversatilis_universalis	Methyloversatilis_universalis
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Methyloversatilis_universalis_A	Methyloversatilis_universalis_A
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Acinetobacter_baumannii	Acinetobacter_baumannii
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Pseudomonas_aeruginosa	Pseudomonas_aeruginosa
Abundance	Nor_vs_Ca	Boruta_RF	1	Ca-5	boruta	Arenimonas_sp003241895	Arenimonas_sp003241895
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Pseudarthrobacter_polychromogenes	Pseudarthrobacter_polychromogenes
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Obscuribacter_phosphatis	Obscuribacter_phosphatis
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Bacillus_A_bombysepticus	Bacillus_A_bombysepticus
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Bacillus_A_cereus	Bacillus_A_cereus
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Brevibacillus_agri	Brevibacillus_agri
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Limosilactobacillus_fermentum	Limosilactobacillus_fermentum
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Streptococcus_agalactiae	Streptococcus_agalactiae
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Streptococcus_mutans	Streptococcus_mutans
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Staphylococcus_aureus	Staphylococcus_aureus
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	JACESI01_sp013911885	JACESI01_sp013911885
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Frigidibacter_sp002423245	Frigidibacter_sp002423245
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Erythrobacter_colymbi	Erythrobacter_colymbi
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Erythrobacter_cryptus	Erythrobacter_cryptus
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Sphingobium_fontiphilum	Sphingobium_fontiphilum
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Sphingomonas_sp001557215	Sphingomonas_sp001557215
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Comamonas_acidovorans	Comamonas_acidovorans
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Zhizhongheella_caldifontis	Zhizhongheella_caldifontis
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Methyloversatilis_discipulorum	Methyloversatilis_discipulorum
Abundance	Nor_vs_Ca	Boruta_RF	2	Ca-1	boruta	Methyloversatilis_discipulorum_A	Methyloversatilis_discipulorum_A
