name	Simulation_left_010_007_5M_bracken	Simulation_left_020_007_5M_bracken	Simulation_left_050_007_5M_bracken	Simulation_left_100_007_5M_bracken	Simulation_left_150_007_5M_bracken	Simulation_left_200_007_5M_bracken	Simulation_left_250_007_5M_bracken	Simulation_left_300_007_5M_bracken	Simulation_left_500_007_5M_bracken	Simulation_left_010_015M_bracken	Simulation_left_020_015M_bracken	Simulation_left_050_015M_bracken	Simulation_left_100_015M_bracken	Simulation_left_150_015M_bracken	Simulation_left_200_015M_bracken	Simulation_left_250_015M_bracken	Simulation_left_300_015M_bracken	Simulation_left_500_015M_bracken	Simulation_left_010_030M_bracken	Simulation_left_020_030M_bracken	Simulation_left_050_030M_bracken	Simulation_left_100_030M_bracken	Simulation_left_150_030M_bracken	Simulation_left_200_030M_bracken	Simulation_left_250_030M_bracken	Simulation_left_300_030M_bracken	Simulation_left_500_030M_bracken	Simulation_left_010_045M_bracken	Simulation_left_020_045M_bracken	Simulation_left_050_045M_bracken	Simulation_left_100_045M_bracken	Simulation_left_150_045M_bracken	Simulation_left_200_045M_bracken	Simulation_left_250_045M_bracken	Simulation_left_300_045M_bracken	Simulation_left_500_045M_bracken	Simulation_left_010_090M_bracken	Simulation_left_020_090M_bracken	Simulation_left_050_090M_bracken	Simulation_left_100_090M_bracken	Simulation_left_150_090M_bracken	Simulation_left_200_090M_bracken	Simulation_left_250_090M_bracken	Simulation_left_300_090M_bracken	Simulation_left_500_090M_bracken	Simulation_left_010_150M_bracken	Simulation_left_020_150M_bracken	Simulation_left_050_150M_bracken	Simulation_left_100_150M_bracken	Simulation_left_150_150M_bracken	Simulation_left_200_150M_bracken	Simulation_left_250_150M_bracken	Simulation_left_300_150M_bracken	Simulation_left_500_150M_bracken
Pseudomonas protegens	0	0	0	0	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	0.0001	0.0001	0	0	0.0001	0	0.0019	0	0	0	0	0	0	0.0001	0.0001	0.0001	0.0009	0	0	0.0001	0.0001	0.0001	0	0.0001	0.0001	0.0001	0	0	0.0004	0.0001	0.0001	0	0	0.0001	0.7039	0	0.0002	0.0001	0.0005	0	0	0.0006	0
Micromonospora rifamycinica	0.0001	0	0.0002	0.0001	0.0001	0.0001	0	0.0001	0.0001	0	0.0001	0.0003	0	0.0001	0	0.0001	0.0001	0.0002	0	0	0	0.0001	0.0001	0.0001	0.0001	0	0.0001	0.0005	0.0001	0	0.0001	0	0.0001	0.0001	0.0001	0.0001	0.0001	0	0	0	0.0002	0	0	0	0	0	0.0003	0.0001	0	0.0001	0.0001	0.0003	0	0.0113
Burkholderia sp. LA-2-3-30-S1-D2	0.6394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0	0	0	0	0.0001	0	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0
Pseudomonas resinovorans	0.0017	0.0034	0.0005	0.0039	0.0071	0.0068	0.0094	0.0052	0.0094	0.0064	0.0091	0.0131	0.0108	0.0025	0.0034	0.0047	0.0036	0.014	0.0019	0.0092	0.0044	0.0044	0.0041	0.0141	0.0107	0.005	0.0116	0.025	0.0027	0.0024	0.0038	0.0074	0.0093	0.0053	0.0058	0.0127	0.0065	0.0029	0.0137	0.0234	0.0071	0.0155	0.0096	0.0048	0.0085	0.0168	0.0057	0.0326	0.0093	0.0154	0.0074	0.0063	0.0159	0.0061
Rhodobacter sphaeroides	0.0001	0.0001	0.0001	0.0004	0.0003	0.0005	0.0004	0.0004	0.0005	0.0017	0.0003	0.0007	0.0005	0.0006	0.0027	0.0004	0.0003	0.0004	0.3705	0.0002	0	0.0001	0.0004	0.0002	0.0011	0.0002	0.0003	0.0002	0.0001	0.0001	0.0003	0.0001	0.0004	0.0003	0.0003	0.0002	0.0001	0	0.0001	0.0005	0.0005	0.0007	0.0002	0.0001	0.0002	0	0.0005	0.0002	0.0005	0.0005	0.0003	0.0012	0.0005	0.0003
Roseitalea porphyridii	0	0.0001	0	0.0001	0.0001	0.0001	0.0001	0	0.0001	0.0001	0	0.0001	0.0001	0.0001	0	0	0	0.0001	0	0.0002	0	0	0	0	0.0001	0	0	0	0	0.0001	0	0	0.0002	0.0001	0	0	0	0	0.0002	0	0	0	0	0.0001	0	0	0	0	0	0.0001	0.0001	0	0	0
Streptomyces griseus	0.0001	0.0003	0.0002	0.0218	0.0002	0.0002	0	0.0002	0.0006	0	0.0001	0.0001	0	0.001	0.0001	0.0002	0.0001	0.0002	0	0.0001	0	0.0003	0.0001	0.0001	0.0001	0.0002	0.0001	0.0004	0.0004	0.0001	0	0	0.0001	0.0001	0.0001	0.0001	0.0001	0.0006	0.0003	0.0001	0.0002	0.0002	0.0002	0.0004	0.0001	0	0.0006	0.0003	0.0001	0	0.0001	0.0001	0.0002	0.0001
Variovorax sp. PMC12	0	0	0	0	0.0002	0.0001	0	0	0	0	0.0001	0.0004	0.0001	0	0	0	0	0.0001	0	0	0.0005	0.0001	0	0	0	0.0001	0	0	0	0	0	0.0005	0.0001	0.0001	0	0	0	0	0	0.0001	0	0.0001	0	0	0	0	0	0	0.0001	0	0.0013	0	0.0001	0.0001
Bacteroides cellulosilyticus	0	0.0007	0	0	0	0	0	0	0	0	0.0311	0	0	0	0	0.0068	0	0	0	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0.0001	0.0002	0.0002	0	0	0.0003	0	0	0.0002	0	0	0	0	0	0.0012	0	0.0004	0.0002	0	0.0003	0	0.0001	0	0
Pseudomonas cedrina	0	0	0	0	0	0.0001	0.0001	0.0001	0.0002	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0.0002	0.0002	0	0	0.0002	0	0	0	0.0001	0	0	0	0	0.0361	0	0	0	0	0	0	0	0.0001	0	0.0001	0	0	0	0
Rubinisphaera brasiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002	0	0	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018
Streptomyces cyaneochromogenes	0	0.0001	0	0.0001	0.0001	0.0029	0	0.0003	0.0001	0	0.0001	0.0002	0	0.0002	0	0.0005	0.0002	0.0001	0	0	0.0001	0.0014	0.0001	0.0001	0.0011	0.0002	0.0001	0.0002	0.0002	0	0.0001	0	0.0001	0.0001	0.0001	0.0001	0.0001	0.133	0.0002	0.0013	0.0012	0.0008	0.0008	0.0014	0.0002	0	0.0004	0.0008	0.0005	0	0.0001	0.0075	0.0003	0.0002
