name	Simulation_left_010_007_5M_k	Simulation_left_020_007_5M_k	Simulation_left_050_007_5M_k	Simulation_left_100_007_5M_k	Simulation_left_150_007_5M_k	Simulation_left_200_007_5M_k	Simulation_left_250_007_5M_k	Simulation_left_300_007_5M_k	Simulation_left_500_007_5M_k	Simulation_left_010_015M_k	Simulation_left_020_015M_k	Simulation_left_050_015M_k	Simulation_left_100_015M_k	Simulation_left_150_015M_k	Simulation_left_200_015M_k	Simulation_left_250_015M_k	Simulation_left_300_015M_k	Simulation_left_500_015M_k	Simulation_left_010_030M_k	Simulation_left_020_030M_k	Simulation_left_050_030M_k	Simulation_left_100_030M_k	Simulation_left_150_030M_k	Simulation_left_200_030M_k	Simulation_left_250_030M_k	Simulation_left_300_030M_k	Simulation_left_500_030M_k	Simulation_left_010_045M_k	Simulation_left_020_045M_k	Simulation_left_050_045M_k	Simulation_left_100_045M_k	Simulation_left_150_045M_k	Simulation_left_200_045M_k	Simulation_left_250_045M_k	Simulation_left_300_045M_k	Simulation_left_500_045M_k	Simulation_left_010_090M_k	Simulation_left_020_090M_k	Simulation_left_050_090M_k	Simulation_left_100_090M_k	Simulation_left_150_090M_k	Simulation_left_200_090M_k	Simulation_left_250_090M_k	Simulation_left_300_090M_k	Simulation_left_500_090M_k	Simulation_left_010_150M_k	Simulation_left_020_150M_k	Simulation_left_050_150M_k	Simulation_left_100_150M_k	Simulation_left_150_150M_k	Simulation_left_200_150M_k	Simulation_left_250_150M_k	Simulation_left_300_150M_k	Simulation_left_500_150M_k
Burkholderia sp. LA-2-3-30-S1-D2	0.3458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cereibacter sphaeroides	0	0	0	0.0001845	0.0001116	0.0001696	0.0001913	0.0001447	0.0001575	0.0004946	0	0.0002646	0.000179	0.0002261	0.0009458	0.0001566	0	0.0001279	0.2439	0	0	0	0.0001442	0	0.0004061	0	0.0001346	0	0	0	0.0001174	0	0.0001849	0.000132	0.0001046	0	0	0	0	0.000223	0.0002056	0.0002427	0	0	0	0	0.0001122	0	0.000161	0.0001672	0.0001279	0.0005132	0.0001431	0.0001205
Pseudomonas protegens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009176	0	0	0	0.0001338	0	0	0	0	0	0.0003392	0	0	0	0	0	0	0	0	0	0	0	0.0006248	0	0	0	0	0	0.1814	0	0	0	0.0002276	0	0	0.0002629	0
Pseudoalteromonas spongiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001682
Ktedonosporobacter rubrisoli	0	0	0	0	0	0	0	0	0	0	0.1425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. CC0208	0	0	0	0	0	0.00175	0	0	0.000983	0	0	0.1182	0	0	0	0.0002391	0	0	0	0	0	0.0008382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004732	0.0001211	0.0006417	0.0005786	0.0002555	0	0	0	0	0.0001114	0.000291	0.000265	0	0	0	0.0001674	0
Bradyrhizobium icense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006233	0	0	0	0	0	0	0	0	0	0	0.0004089	0	0	0	0	0	0	0	0.0005206	0.003848	0	0	0	0	0	0	0	0	0	0.09576	0	0
Caldilinea aerophila	0	0	0	0	0	0	0	0	0.01039	0	0	0	0	0	0	0	0	0	0	0	0	0.001225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08413	0	0.0002887	0	0	0	0	0	0	0	0	0.004241
Rhodanobacter glycinis	0	0	0	0	0	0	0	0	0	0	0.09538	0	0	0	0	0	0	0	0	0	0	0	0	0.0001757	0.0001163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001501	0	0	0	0	0
Neisseria sicca	0	0	0	0	0	0	0.0002375	0	0.001641	0	0	0	0	0	0	0	0	0	0.09105	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000572	0	0	0	0	0	0	0	0.001413	0	0	0	0	0	0	0	0	0	0	0	0	0.0002772
