Specie	S1_010_007.5M	S1_020_007.5M	S1_050_007.5M	S1_100_007.5M	S1_150_007.5M	S1_200_007.5M	S1_250_007.5M	S1_300_007.5M	S1_500_007.5M	S1_010_015M	S1_020_015M	S1_050_015M	S1_100_015M	S1_150_015M	S1_200_015M	S1_250_015M	S1_300_015M	S1_500_015M	S1_010_030M	S1_020_030M	S1_050_030M	S1_100_030M	S1_150_030M	S1_200_030M	S1_250_030M	S1_300_030M	S1_500_030M	S1_010_045M	S1_020_045M	S1_050_045M	S1_100_045M	S1_150_045M	S1_200_045M	S1_250_045M	S1_300_045M	S1_500_045M	S1_010_090M	S1_020_090M	S1_050_090M	S1_100_090M	S1_150_090M	S1_200_090M	S1_250_090M	S1_300_090M	S1_500_090M	S1_010_150M	S1_020_150M	S1_050_150M	S1_100_150M	S1_150_150M	S1_200_150M	S1_250_150M	S1_300_150M	S1_500_150M
Desulfatitalea_tepidiphila	0	0	0	0	0	0	0.007248114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00281315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00207099	0	0	0	0	0	0	0	0	0	0	0	0
Sutterella_parvirubra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003257274	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desertihabitans_aurantiacus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004570427	0	0	0	0	0	0	0	0	0	0	0	0.33953966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_E_protegens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334042562	0	0	0	0	0	0	0	0
Methylopumilus_universalis	0	0	0	0	0	0	0	0	0	0.33676917	0	0	0	0	0	0.00216999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces_cyaneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32308421	0	0	0	0	0.001007845	0	0	0	0	0	0	0	0	0	0	0
Micromonospora_rifamycinica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00338443
Rathayibacter_toxicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000422116	0	0	0	0	0	0	0	0	0.004849735	0	0	0	0	0	0	0	0	0
Lacticaseibacillus_pantheris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.266471227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_diffusa	0.274412641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_licheniformis	0	0.268116843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001325353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000814767	0	0	0	0	0	0	0	0	0
Syntrophobotulus_glycolicus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002095506	0	0	0	0	0	0	0	0	0
Cereibacter_A_azotoformans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254524506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycobacterium_obuense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00242108	0	0	0.24434082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillochloris_fontis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001585338	0	0	0	0	0	0	0	0	0	0	0	0.242513982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kosakonia_cowanii	0	0	0	0.006360096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kurthia_gibsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000737856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium_hispalense	0	0	0	0	0	0	0	0	0	0.222473244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010877583	0	0	0	0	0	0	0
Streptomyces_mutabilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
