SampleID	MetaPhlAn4_P	mOTUs3_P	Bracken_P	Kraken2_P	KrakenUniq_P	MAP2B_P	MetaPhlAn4_R	mOTUs3_R	Bracken_R	Kraken2_R	KrakenUniq_R	MAP2B	MetaPhlAn4_F1	mOTUs3_F1	Bracken_F	Kraken2_F	KrakenUniq_F	MAP2B	MetaPhlAn4_L2	mOTUs3_L2	Bracken_L2	Kraken2_L2	Krakenuniq_L2	MAP2B_L2	MetaPhlAn4_BC	mOTUs3_BC	Bracken_BC	Kraken2_BC	KrakenUniq_BC	MAP2B_BC
S1_010_007.5M	0.727272727	0.444444444	0.003916	0.010949	0.032967	1	0.8	0.4	0.3	0.3	0.3	1	0.761904762	0.421052632	0.007731084	0.021126937	0.059405887	1	0.65973	0.378284	0.646014	0.618373	0.596698	0.9905804	0.609775	0.29206	0.509809	0.509801	0.509807	0.99211565
S1_020_007.5M	0.666666667	0.269230769	0.005634	0.009217	0.036585	1	0.7	0.35	0.2	0.2	0.3	1	0.682926829	0.304347826	0.010959277	0.017621895	0.06521681	1	0.86265	0.678135	0.759169	0.677865	0.602067	0.99434875	0.81314	0.455682	0.416351	0.227015	0.26348	0.99216975
S1_050_007.5M	0.87755102	0.555555556	0.040519	0.094697	0.174242	1	0.86	0.4	0.5	0.5	0.46	0.98	0.868686869	0.465116279	0.074963137	0.159235712	0.252746806	0.98989899	0.9662242	0.786432	0.811578	0.801251	0.785695	0.9843914	0.9376494	0.380741	0.438843	0.438532	0.401086	0.9835783
S1_100_007.5M	0.878787879	0.56626506	0.040445	0.077075	0.145299	1	0.861386139	0.465346535	0.39604	0.386139	0.336634	0.970297	0.87	0.510869565	0.073394677	0.128500708	0.202984994	0.984924608	0.9055385	0.831991	0.789988	0.780004	0.765302	0.99659948	0.824576	0.412467	0.274428	0.262155	0.215263	0.99175985
S1_150_007.5M	0.904761905	0.632478632	0.032047	0.068146	0.179825	1	0.886666667	0.493333333	0.293333	0.286667	0.273333	0.966667	0.895622896	0.554307116	0.057781318	0.110115522	0.216931431	0.98305102	0.9190269	0.865968	0.868703	0.855613	0.842305	0.99437496	0.86784	0.503437	0.343645	0.342878	0.332439	0.9858214
S1_200_007.5M	0.878787879	0.670967742	0.044068	0.079701	0.146699	1	0.87	0.52	0.325	0.32	0.3	0.94	0.874371859	0.585915493	0.077612256	0.127616994	0.197044095	0.969072165	0.9533461	0.892212	0.862067	0.855596	0.845459	0.99519013	0.859525	0.503179	0.250302	0.250705	0.240565	0.9835012
S1_250_007.5M	0.896	0.778378378	0.071371	0.148718	0.270627	1	0.892430279	0.573705179	0.354582	0.346614	0.326693	0.964143	0.894211577	0.660550459	0.118824715	0.208134103	0.29602875	0.981744201	0.9707993	0.896332	0.890465	0.882596	0.875636	0.99629488	0.9092541	0.549493	0.333806	0.333287	0.331594	0.9862378
S1_300_007.5M	0.884745763	0.714953271	0.079278	0.148204	0.279412	1	0.87	0.51	0.336667	0.33	0.316667	0.93	0.877310924	0.595330739	0.128335652	0.204545842	0.296875279	0.96373057	0.9375567	0.887831	0.893688	0.884208	0.867723	0.9947121	0.820162	0.473289	0.330986	0.320601	0.25337	0.9781252
S1_500_007.5M	0.90625	0.712643678	0.126742	0.242857	0.388235	1	0.868263473	0.49500998	0.381238	0.373253	0.329341	0.91018	0.886850153	0.584216726	0.190239248	0.294256233	0.356371181	0.952978253	0.9774566	0.9420233	0.912648	0.9080455	0.9011079	0.99406206	0.893007	0.556753	0.311749	0.306493	0.295087	0.9679535
S1_010_015M	0.5	0.214285714	0.002899	0.007905	0.008197	1	0.818181818	0.272727273	0.181818	0.181818	0.090909	1	0.620689655	0.24	0.005707005	0.01515126	0.015038062	1	0.844856	0.502401	0.495154	0.451818	0.397652	0.9906667	0.865202	0.374148	0.175222	0.162917	0.047492	0.99036026
