unique_name	taxid	S_Normal_25_008M	S_Normal_25_068M	S_Normal_25_102M	S_Normal_50_008M	S_Normal_50_068M	S_Normal_50_102M	S_Normal_100_008M	S_Normal_100_068M	S_Normal_100_102M	S_Normal_150_008M	S_Normal_150_068M	S_Normal_150_102M	S_Normal_200_008M	S_Normal_200_068M	S_Normal_200_102M	S_Normal_400_008M	S_Normal_400_068M	S_Normal_400_102M	S_Normal_25_17M	S_Normal_25_34M	S_Normal_50_17M	S_Normal_50_34M	S_Normal_100_17M	S_Normal_100_34M	S_Normal_150_17M	S_Normal_150_34M	S_Normal_200_17M	S_Normal_200_34M	S_Normal_400_17M	S_Normal_400_34M
Sphingopyxis fribergensis	1515612	0	0	0.3134	0	0.0099	0	0	0	0.0028	0.0142	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0.0024	0	0	0	0.0011
Geosporobacter ferrireducens	1424294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0034	0	0	0	0	0	0.0058	0	0	0	0.0059	0	0	0
Mycobacterium mantenii	560555	0.2394	0	0	0	0	0	0	0	0	0.0093	0	0	0	0	0.0283	0.0071	0	0.0003	0	0	0	0	0	0	0	0.0148	0	0	0.0052	0.0011
Bradyrhizobium icense	1274631	0	0.0589	0.0318	0	0	0	0	0	0	0.045	0	0.0735	0	0	0	0.005	0.0072	0.0005	0	0	0	0	0	0	0	0	0.0081	0	0	0
Caldithrix abyssi	187145	0	0	0	0	0	0	0	0	0	0	0.0041	0	0	0.0038	0.0123	0.002	0.0041	0	0	0	0	0	0	0	0	0	0.004	0	0	0
Kibdelosporangium phytohabitans	860235	0	0	0	0.1321	0	0	0	0	0	0.0291	0	0	0	0.0054	0	0.0018	0.0106	0	0	0	0	0	0	0	0	0	0	0	0.0015	0.012
Streptomyces pactum	68249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0094	0	0	0.0001	0	0	0	0	0	0	0	0	0.0006	0	0
Paludisphaera borealis	1387353	0	0	0	0	0	0	0	0	0	0	0.0041	0	0.0023	0	0	0	0.0042	0.0036	0	0	0	0	0	0	0	0	0.0542	0.0344	0.003	0
Oscillatoria acuminata	118323	0	0	0	0	0	0.1201	0	0	0.0539	0	0	0	0.0016	0	0	0	0	0.0026	0	0	0	0	0	0	0	0	0	0	0	0
Hymenobacter swuensis	1446467	0.03	0.0379	0	0	0	0	0	0.0123	0	0	0.0086	0	0	0.0095	0	0	0.0059	0	0	0	0	0	0	0	0	0	0.0013	0	0.0064	0
Octadecabacter antarcticus	1217908	0	0	0	0	0	0	0	0	0.0045	0	0	0.0093	0	0	0	0	0	0.001	0	0	0	0	0	0.0004	0	0.0059	0	0	0	0
Thalassobius gelatinovorus	53501	0	0.1415	0	0	0	0	0	0	0.0107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0
Nocardia otitidiscaviarum	1823	0	0	0	0	0	0	0	0	0	0	0.0252	0.1104	0	0	0.0069	0.0021	0	0	0	0	0	0.0523	0	0	0	0	0.0008	0	0	0
Leptotrichia wadei	157687	0	0	0	0	0	0.1221	0	0.0001	0	0.0022	0	0	0.0001	0.0011	0.0001	0	0	0.0005	0	0	0	0	0	0	0	0	0	0	0.0008	0.0009
Sphingobium herbicidovorans	76947	0	0	0.0174	0	0	0.0963	0	0.0076	0	0	0	0	0	0	0	0	0.0007	0.0015	0	0	0	0	0	0	0	0	0	0	0	0
Sanguibacter keddieii	60920	0.1202	0	0.0232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0071	0	0	0	0	0	0	0.0012	0	0.0008
Gynuella sunshinyii	1445505	0	0.0859	0	0	0	0	0	0	0.0423	0	0	0.0027	0	0	0	0.0042	0.0009	0.0007	0	0	0	0	0.0495	0.0105	0.0101	0	0	0.0315	0.0057	0
Stackebrandtia nassauensis	283811	0.0599	0	0	0	0.0057	0	0	0	0	0	0	0.0223	0.02	0.0045	0	0	0.0012	0.0057	0	0	0	0	0.0112	0	0.0199	0	0	0	0.0005	0.0051
