unique_name	taxid	S_Normal_100_102M	S_Normal_100_17M	S_Normal_100_34M	S_Normal_100_68M	S_Normal_100_8M	S_Normal_150_102M	S_Normal_150_17M	S_Normal_150_34M	S_Normal_150_68M	S_Normal_150_8M	S_Normal_200_102M	S_Normal_200_17M	S_Normal_200_34M	S_Normal_200_68M	S_Normal_200_8M	S_Normal_25_102M	S_Normal_25_17M	S_Normal_25_34M	S_Normal_25_68M	S_Normal_25_8M	S_Normal_400_102M	S_Normal_400_17M	S_Normal_400_34M	S_Normal_400_68M	S_Normal_400_8M	S_Normal_50_102M	S_Normal_50_17M	S_Normal_50_34M	S_Normal_50_68M	S_Normal_50_8M
Saccharopolyspora erythraea	1836	0	0	0	0	0	0	0	0	0	0	0.01626	0	0.00001112	0	0	0	0	0	0	0	0.001727	0.005825	0	0	0	0	0.3483	0	0	0
Sphingopyxis fribergensis	1515612	0.00261	0	0	0	0	0	0	0.002252	0	0.01305	0	0	0	0	0.007316	0.2897	0	0	0	0	0	0	0.001039	0	0	0	0	0	0.009123	0
Mycobacterium mantenii	560555	0	0	0	0	0	0	0	0.01461	0	0.009136	0.02774	0	0	0	0	0	0	0	0	0.2348	0.0002515	0.005174	0.001095	0	0.00704	0	0	0	0	0
Gynuella sunshinyii	1445505	0.04211	0.04919	0.01042	0	0	0.002695	0.009946	0	0	0	0	0	0.03115	0	0	0	0	0	0.08577	0	0.0006667	0.005628	0	0.0008836	0.004219	0	0	0	0	0
Bradyrhizobium icense	1274631	0	0	0	0	0	0.0723	0	0	0	0.04464	0	0.008014	0	0	0	0.03163	0	0	0.05867	0	0.0005339	0	0	0.007121	0.004999	0	0	0	0	0
Nocardia otitidiscaviarum	1823	0	0	0	0	0	0.1075	0	0	0.02468	0	0.006709	0.0008069	0	0	0	0	0	0	0	0	0	0	0	0	0.002054	0	0	0.05013	0	0
Kibdelosporangium phytohabitans	860235	0	0	0	0	0	0	0	0	0	0.02893	0	0	0	0.005358	0	0	0	0	0	0	0	0.001491	0.01186	0.01049	0.001809	0	0	0	0	0.1305
Chitinophaga pinensis	79329	0	0	0.1175	0	0.02925	0	0	0	0	0	0	0	0	0.01129	0	0	0	0	0	0	0	0.01232	0	0.006895	0	0	0	0	0	0
Oscillatoria acuminata	118323	0.05368	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001592	0	0	0	0	0	0.002609	0	0	0	0	0.1191	0	0	0	0
Mycobacterium conspicuum	44010	0	0.02323	0	0	0	0	0	0	0	0	0	0	0.009281	0.00234	0	0	0	0.1318	0	0	0	0	0	0.009521	0	0	0	0	0	0
Paracoccus yeei	147645	0	0	0	0	0	0	0.004783	0	0	0	0	0	0	0	0	0	0	0.1503	0	0	0	0.002183	0	0.0009048	0.004248	0	0	0	0	0
Martelella endophytica	1486262	0	0	0	0	0	0	0.00001329	0	0.00253	0	0	0.09762	0	0	0	0	0	0	0	0	0.0002756	0	0.0578	0	0	0.003997	0	0	0	0
Paenibacillus crassostreae	1763538	0.005131	0	0	0	0	0.002074	0.007307	0	0	0	0	0	0	0	0	0	0.09431	0	0.04431	0	0.001497	0	0	0	0	0	0.00504	0	0	0
Thalassobius gelatinovorus	53501	0.01066	0	0	0	0	0	0	0.003967	0	0	0	0	0	0	0	0	0	0	0.1412	0	0	0	0	0	0	0	0	0	0	0
Stackebrandtia nassauensis	283811	0	0.01116	0	0	0	0.02194	0.01965	0	0	0	0	0	0	0.004454	0.01982	0	0	0	0	0.05934	0.005614	0.0004853	0.005067	0.001156	0	0	0	0	0.005704	0
Microbulbifer aggregans	1769779	0	0	0	0	0	0.01186	0.003078	0	0	0	0	0	0	0	0.0009364	0	0	0	0.04593	0	0	0	0	0	0	0	0	0.08735	0	0.00355
