Specie	S_Normal_25_008M	S_Normal_25_17M	S_Normal_25_34M	S_Normal_25_068M	S_Normal_25_102M	S_Normal_50_008M	S_Normal_50_17M	S_Normal_50_34M	S_Normal_50_068M	S_Normal_50_102M	S_Normal_100_008M	S_Normal_100_17M	S_Normal_100_34M	S_Normal_100_068M	S_Normal_100_102M	S_Normal_150_008M	S_Normal_150_17M	S_Normal_150_34M	S_Normal_150_068M	S_Normal_150_102M	S_Normal_200_008M	S_Normal_200_17M	S_Normal_200_34M	S_Normal_200_068M	S_Normal_200_102M	S_Normal_400_008M	S_Normal_400_17M	S_Normal_400_34M	S_Normal_400_068M	S_Normal_400_102M
Mycobacterium_tuberculosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elizabethkingia_meningoseptica	0	0	0	0	0	0.025802418	0	0.016877967	0	0	0	0	0.040730382	0	0	0	0	0	0	0.00142067	0	0	0.006722725	0.002810079	0.005668084	0	0.003171717	0	0	0
Helicobacter_pylori	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005971991	0	0	0	0	0.011426944	0	0	0	0	0	0	0	0	0	0.001084145	0
Acinetobacter_baumannii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylocystis_bryophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002205428	0	0.001108837	0	0.001063472	0	0	0	0
Chlamydia_trachomatis	0	0	0	0	0	0	0.021606482	0	0	0	0	0	0	0	0	0.002780154	0	0	0	0	0	0	0.002321695	0.023543777	0	0	0	0	0.001572169	0.015081006
Ferrimonas_balearica	0	0.01587689	0	0	0	0.03098864	0	0	0	0	0	0	0	0	0	0	0	0	0.006110472	0	0.000443475	0.003824297	0.000883917	0	0	0	0.000863863	0	0	0
Aggregatibacter_actinomycetemcomitans	0	0	0	0	0	0	0.074845308	0	0	0	0	0	0	0	0	0.014062844	0	0	0	0	0	0	0	0	0	0.003613578	0	0	0.001068577	0
Corynebacterium_pseudotuberculosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00075681	0	0	0.00163492	0	0.001452046	0	0	0.001365341	0.001006807	0.00925898	0	0.000461568
Thermus_brockianus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000533618	0	0	0	0.00444447	0.001166397	0	0.002075014
Sphingopyxis_fribergensis	0	0	0	0	0.231801604	0	0	0	0.006520655	0	0	0	0	0	0.001955194	0.00937436	0	0.001801647	0	0	0.005783348	0	0	0	0	0	0	0.000880568	0	0
Neisseria_gonorrhoeae	0	0	0	0	0	0.007630718	0	0	0	0	0	0	0	0	0.022420599	0	0	0.004915442	0.000929506	0	0	0	0.001566676	0	0	0.003877639	0.006124038	0	0	0
Bordetella_trematum	0	0	0	0	0	0	0	0	0	0	0	0.035700256	0	0	0	0	0	0	0	0	0	0	0	0	0.005911614	0	0	0.00199101	0.000364522	0
Streptococcus_porcinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000636715	0.000591232	0	0	0	0	0	0.002309984	0	0	0	0.003370257	0
Xanthomonas_oryzae	0	0	0	0	0	0	0	0	0	0	0	0.009052682	0	0	0	0	0	0	0	0.001970048	0.006773485	0	0	0	0	0.001909295	0	0	0	0.001547955
