clade_name	S_Normal_025_008M_MPA4	S_Normal_025_17M_MPA4	S_Normal_025_34M_MPA4	S_Normal_025_068M_MPA4	S_Normal_025_102M_MPA4	S_Normal_050_008M_MPA4	S_Normal_050_17M_MPA4	S_Normal_050_34M_MPA4	S_Normal_050_068M_MPA4	S_Normal_050_102M_MPA4	S_Normal_100_008M_MPA4	S_Normal_100_17M_MPA4	S_Normal_100_34M_MPA4	S_Normal_100_068M_MPA4	S_Normal_100_102M_MPA4	S_Normal_150_008M_MPA4	S_Normal_150_17M_MPA4	S_Normal_150_34M_MPA4	S_Normal_150_068M_MPA4	S_Normal_150_102M_MPA4	S_Normal_200_008M_MPA4	S_Normal_200_17M_MPA4	S_Normal_200_34M_MPA4	S_Normal_200_068M_MPA4	S_Normal_200_102M_MPA4	S_Normal_400_008M_MPA4	S_Normal_400_17M_MPA4	S_Normal_400_34M_MPA4	S_Normal_400_068M_MPA4	S_Normal_400_102M_MPA4
UNCLASSIFIED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
s__Abiotrophia_defectiva	0	0	0	0	0	0	0.0022979	0	0	0.0060038	0.0065731	0	0.0036737	0	0	0	0	0	0	0	0	0	0	0	0.0051058	0	0.0034419	0	0.0038737	0.0027765
s__Acaryochloris_marina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028498	0	0.0044753	0	0	0.0039065	0	0	0.0040341	0	0	0.0014922	0.0030072	0.0066532	0.0018892
s__Acetobacter_aceti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004443	0	0	0	0	0.0018045	0	0.000946	0	0	0.0111647	0	0	0.0014517	0.0029711	0
s__Acetobacter_ascendens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000036	0	0	0	0
s__Acetobacter_orientalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0067991	0	0	0	0.0023994
s__Acetobacter_pasteurianus	0	0.0036536	0	0	0	0	0	0	0	0	0	0	0	0	0.0002738	0	0.0031711	0	0.001349	0	0.0003601	0.0002532	0	0	0	0.0000504	0	0	0	0.0001795
s__Acetobacter_persici	0	0	0	0	0	0	0.0240233	0	0.0030114	0.0093245	0	0	0	0	0	0	0	0.026454	0	0	0.0043261	0.0019469	0.0028533	0	0	0	0.0051784	0.0016319	0	0
s__Acetobacterium_woodii	0	0	0	0	0	0.0073551	0	0	0.0416234	0	0	0	0	0	0	0	0	0	0.0060034	0	0	0.0103578	0	0.0024428	0	0	0	0	0	0.0009717
s__Acetohalobium_arabaticum	0.0564681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0052966	0	0.0026957	0	0.000739	0	0.0012506	0.0006616	0.0009068	0	0
s__Acholeplasma_laidlawii	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0047873	0	0.0407158	0	0	0	0	0	0.0037904	0	0.0006577	0	0	0.0004364	0.0006403	0.000938	0
s__Acidaminococcus_fermentans	0	0	0	0.0793466	0	0	0	0	0	0.0108288	0	0	0	0	0	0	0	0	0	0	0	0.0005812	0	0.0004361	0	0	0.0064717	0	0.0019399	0
s__Acidimicrobium_ferrooxidans	0.0426859	0	0	0	0	0	0	0	0	0	0.0015048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001504	0	0	0	0
s__Acidipropionibacterium_acidipropionici	0	0	0	0	0	0	0	0	0.0104465	0	0	0.0056763	0	0	0	0	0	0	0	0	0	0	0	0.0024384	0	0.0020191	0	0	0.0013904	0
s__Acidithiobacillus_ferrivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0055638	0.001789	0	0	0.0018241	0.0068919	0	0	0	0	0	0.0011578	0.0034796	0.0009301
s__Acidobacterium_capsulatum	0	0	0	0	0	0	0	0	0.01336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0176805	0	0.0007113	0.0027388
s__Acidothermus_cellulolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.017462	0	0	0	0	0	0	0	0	0	0	0	0.0010026	0.008817	0	0.0008669
s__Acinetobacter_defluvii	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005691	0	0	0	0	0	0	0	0	0	0.0207541	0.0050244	0	0.0018106	0.0007313	0	0.0018959
s__Acinetobacter_equi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014338	0	0	0	0	0	0	0	0	0.0005825
s__Acinetobacter_larvae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009925	0	0	0.0046469	0	0.0055817	0.0024306	0	0
s__Actinoalloteichus_hymeniacidonis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141508	0.0066438	0	0	0	0.0233779	0	0	0	0.0079672	0	0.0034503	0	0.011966	0.00256
s__Actinomyces_gaoshouyii	0	0	0	0	0	0	0	0	0	0	0	0.0014811	0	0	0	0	0.0026174	0	0.0021379	0	0	0	0	0	0	0.0005198	0	0.0002781	0	0
s__Actinomyces_oris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000365	0	0.0010838	0	0	0	0.0022476	0.0020792	0.0013493	0.0049595
s__Actinomyces_radicidentis	0	0	0	0	0	0	0	0	0	0	0.0083982	0	0	0	0	0.0010092	0.0073028	0	0	0.0037086	0	0	0	0	0	0.0010764	0.001881	0	0	0
s__Actinoplanes_friuliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0065196	0	0	0	0	0.0027078	0	0	0	0	0.0034708	0.0015735	0.0012938	0	0.0032621	0.0009585	0.0012796
s__Actinoplanes_missouriensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026865	0	0.0058997	0	0	0.0023014	0	0.0038586	0	0
s__Actinosynnema_pretiosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031144	0	0	0	0	0	0	0	0	0	0	0	0	0.0038896	0
s__Adlercreutzia_equolifaciens	0	0	0.021662	0	0	0.003362	0	0	0	0	0	0	0	0	0	0	0.0037423	0	0	0.0024271	0	0	0	0.0016567	0	0.0029098	0	0	0	0.0010671
s__Advenella_kashmirensis	0	0	0	0	0	0	0.0128994	0	0	0	0	0	0	0	0	0	0	0	0	0.0005853	0	0	0	0	0	0	0.0029181	0.0016893	0	0
s__Advenella_mimigardefordensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215768	0	0	0	0.0009312	0	0	0	0.0006189	0.0003176	0	0	0.003558
s__Aequorivita_sublithincola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027415	0	0	0.0085739	0	0	0	0	0	0	0	0	0.0060269	0	0.000506	0
s__Aerococcus_christensenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225284	0	0	0	0.0056886	0	0	0.0395685	0	0	0	0.0012778	0.0024002	0	0	0.0029114
s__Aerococcus_urinaehominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121186	0	0	0.0008156	0.0024762	0	0	0	0	0	0.0011782	0	0.0023985	0	0	0	0
s__Aggregatibacter_actinomycetemcomitans	0	0	0	0	0	0	0.0679097	0	0	0	0	0	0	0	0	0.0128265	0	0	0	0	0	0	0	0	0	0.0033173	0	0	0.0009929	0
s__Aggregatibacter_aphrophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010113	0	0	0.0008732
s__Aggregatibacter_segnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0029553	0	0	0	0	0.0061736	0	0	0
s__Agromyces_aureus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057514	0	0	0.0074955	0	0.0066967	0.0053958	0	0	0	0.0015319
s__Akkermansia_glycaniphila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006971	0.0006972	0	0	0
s__Alicyclobacillus_acidocaldarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008525	0	0	0	0	0	0	0	0	0	0	0.0030118	0	0
s__Aliivibrio_fischeri	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042676	0	0	0	0.0052274	0	0	0.0015532	0	0	0.0002625	0	0	0	0.0018602	0	0
s__Alkalilimnicola_ehrlichii	0	0	0	0	0	0.0071166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0175411	0	0.0025723	0.0011985	0.0100887	0.0022263	0.0007483	0	0.0036608
s__Allochromatium_vinosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016968	0	0.061624	0	0	0.0041804	0	0	0	0	0	0
