#mOTU	consensus_taxonomy	S_Normal_025_008M	S_Normal_025_17M	S_Normal_025_34M	S_Normal_025_068M	S_Normal_025_102M	S_Normal_050_008M	S_Normal_050_17M	S_Normal_050_34M	S_Normal_050_068M	S_Normal_050_102M	S_Normal_100_008M	S_Normal_100_17M	S_Normal_100_34M	S_Normal_100_068M	S_Normal_100_102M	S_Normal_150_008M	S_Normal_150_17M	S_Normal_150_34M	S_Normal_150_068M	S_Normal_150_102M	S_Normal_200_008M	S_Normal_200_17M	S_Normal_200_34M	S_Normal_200_068M	S_Normal_200_102M	S_Normal_400_008M	S_Normal_400_17M	S_Normal_400_34M	S_Normal_400_068M	S_Normal_400_102M
ref_mOTU_v3_11599	Cellulomonas gilvus	0	0	0	0	0	0	0	0	0	0	0.002858845	0.003225086	0	0	0.001494296	0	0	0	0	0	0.002137036	0	0	0	0	0.007537482	0.004724748	0	0.000659816	0
ref_mOTU_v3_10869	Dictyoglomus thermophilum	0	0	0	0	0.132604948	0	0	0	0	0	0	0	0	0	0	0	0	0.002751414	0.011909553	0	0	0	0	0	0.006820509	0	0.002732789	0.001580863	0	0.000388682
ref_mOTU_v3_06012	Archangium gephyra	0	0	0	0	0	0	0	0	0	0	0	0.003461007	0	0.000900275	0	0	0	0	0	0	0.001569345	0.004817164	0	0	0	0	0	0.003647367	0	0.005028202
ref_mOTU_v3_01146	Chondromyces crocatus	0	0	0	0	0	0	0	0	0	0	0	0	0.009210708	0.00200991	0	0	0	0	0	0	0	0	0	0	0	0	0.000594616	0	0	0
ref_mOTU_v3_11658	Simonsiella muelleri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001114308	0	0	0	0	0	0.007792378	0	0	0.001987305	0.002719763	0.011812881	0.000631279	0
ref_mOTU_v3_12027	Cyclobacterium marinum	0	0	0	0	0	0	0.004035221	0	0	0	0	0	0.008493671	0	0	0	0	0.016989886	0	0.013136937	0.003875101	0	0	0	0.001417908	0	0.00286271	0	0.002430288	0.000462942
ref_mOTU_v3_11893	Rubinisphaera brasiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005360737	0	0	0	0	0	0.001279686	0	0	0	0	0	0	0.001207059
ref_mOTU_v3_11392	Planctopirus limnophila	0	0	0	0	0	0	0	0	0	0	0.013585017	0	0	0	0	0	0	0	0.003795161	0	0	0	0	0.00018517	0	0	0.007218056	0	0.00158823	0
ref_mOTU_v3_11548	Isosphaera pallida	0	0	0	0	0	0	0	0	0.024697687	0	0	0.006423939	0	0	0.023227302	0	0	0	0	0	0.00655708	0.00078968	0	0.001152799	0.000442325	0.006432922	0	0.008544447	0	0.002781342
ref_mOTU_v3_01709	Borreliella burgdorferi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006358808	0	0	0	0	0	0.010551108	0	0	0.002269312	0	0.001310491	0
ref_mOTU_v3_03911	Borrelia hermsii	0	0	0	0	0	0	0	0	0	0	0.004428667	0	0	0	0	0	0.002643967	0	0	0.008493244	0	0.010372213	0	0	0.003966568	0	0.001115508	0	0.009756541	0
ref_mOTU_v3_04033	Borrelia anserina	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012025646	0	0	0	0	0	0	0	0	0	0	0	0	0.003087809	0.001633244	0	0.002062752
ref_mOTU_v3_04024	Treponema phagedenis	0	0	0	0	0	0	0	0	0.026359795	0	0	0.012137582	0.001023634	0	0	0	0	0.003529457	0	0	0	0.002610403	0	0.0039216	0	0	0.003959289	0.00028868	0	0
ref_mOTU_v3_00585	Leptospira interrogans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002816613	0	0	0	0	0	0	0	0.003639828	0.001020529	0	0.000253122
ref_mOTU_v3_07226	Leptospirillum ferrooxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003868782	0	0	0	0	0	0	0.007231386	0	0	0	0	0	0	0
ref_mOTU_v3_01799	Campylobacter fetus	0	0	0	0	0	0	0	0	0	0	0.003841328	0	0	0	0	0	0	0	0.006462108	0	0.000830684	0	0.003193124	0	0	0.000715813	0.001453182	0	0	0
ref_mOTU_v3_00897	Helicobacter pylori	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005580181	0	0.002620682	0	0	0.011073961	0	0	0	0	0	0	0	0	0.000979441	0.001060491	0
ref_mOTU_v3_00899	Helicobacter acinonychis	0	0	0	0	0	0	0	0	0	0	0	0	0.022484552	0	0	0	0	0	0	0	0	0	0.00168796	0	0.000772373	0.000996802	0.001627341	0.000718065	0.003707194	0.003357949
ref_mOTU_v3_03193	Elizabethkingia meningoseptica	0	0	0	0	0	0.026869175	0	0.017187602	0	0	0	0	0.043594134	0	0	0	0	0	0	0.001494741	0	0	0.006626626	0.002930193	0.005910652	0	0.00329979	0	0	0
ref_mOTU_v3_05187	Chryseobacterium balustinum	0	0	0	0.000614344	0	0	0	0	0	0	0.000521901	0	0	0	0	0	0.004878203	0.001550769	0.00433549	0	0	0.000307264	0	0.000826809	0	0.002581713	0	0	0.002811695	0
ref_mOTU_v3_05189	Chryseobacterium indoltheticum	0	0	0	0.013376929	0	0	0	0	0	0	0.006624467	0	0	0	0.003427706	0	0	0	0	0.001481379	0	0.002593805	0	0.006058354	0.000121698	0.000756549	0	0	0.000469766	0
ref_mOTU_v3_06107	Myroides odoratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001737157	0.006677771	0	0	0	0.002700199	0.000688958	0.003380478	0.012253213	0.001336007	0.000907847
ref_mOTU_v3_05395	Paracoccus denitrificans	0	0	0.064865642	0	0	0	0	0	0	0	0.007656708	0.001393254	0.002461209	0	0	0	0	0	0	0	0	0	0.001996918	0	0	0	0	0.000725834	0.002371595	0
ref_mOTU_v3_06127	Thermus aquaticus	0	0	0	0	0	0	0	0	0.004485032	0	0	0	0	0	0	0	0	0.001339387	0	0	0	0	0	0	0	0	0.000448856	0.002800092	0.002237871	0
ref_mOTU_v3_02321	Meiothermus ruber	0	0	0	0	0	0	0	0	0	0	0	0	0.021704632	0	0	0.001754554	0	0	0	0	0	0	0	0	0	0.006758955	0	0.001035108	0	0
ref_mOTU_v3_02981	Xanthomonas translucens	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011259892	0	0.006261606	0	0	0.006912838	0	0	0	0	0	0	0	0	0.005188728	0	0
ref_mOTU_v3_01733	Xanthomonas oryzae	0	0	0	0	0	0	0	0	0	0	0	0.008139394	0	0	0	0	0	0	0	0.001650446	0.006291183	0	0	0	0	0.00140759	0	0	0	0.00135656
ref_mOTU_v3_04066	Azotobacter chroococcum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001145052	0	0.010529948	0	0	0	0	0	0	0	0	0.001181545	0	0
ref_mOTU_v3_03841	Azotobacter vinelandii	0	0	0	0	0	0.018686162	0	0	0	0	0	0	0	0	0	0.00702675	0	0	0	0	0	0	0.006732885	0	0	0	0	0	0	0.000872223
ref_mOTU_v3_01190	Bradyrhizobium japonicum [Bradyrhizobium japonicum/Bradyrhizobium sp.]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005013666	0.009175094	0	0.00445445	0	0	0	0	0.000809191	0	0	0.000861855	0.001050182
ref_mOTU_v3_00933	Neorhizobium galegae	0.008787571	0	0	0	0	0	0	0.012537324	0	0	0	0	0	0	0	0	0.014717191	0	0.007123263	0	0	0	0	0	0	0	0	0.002103827	0.003285284	0
ref_mOTU_v3_03333	Methylococcus capsulatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000571554	0	0.004532072	0	0	0	0	0	0	0	0.003455558	0	0.001860609	0	0.001156199
ref_mOTU_v3_06301	Acetobacter aceti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004374743	0	0	0	0	0.001687332	0	0.000904728	0	0	0.010422285	0	0	0.001424982	0.002778619	0
ref_mOTU_v3_00820	Acetobacter pasteurianus	0	0.036914678	0	0	0	0	0	0	0	0	0	0	0	0	0.003586311	0	0.036029231	0	0.014841521	0	0.003869098	0.001989379	0	0	0	0.000958812	0	0	0	0.002326629
ref_mOTU_v3_03874	Gluconobacter oxydans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001959359	0	0	0	0	0.001205654	0	0	0	0	0.006687608	0.001496588	0.001039583
ref_mOTU_v3_01699	Legionella pneumophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004264335	0.00212062	0	0	0	0	0	0	0.000337041	0	0.005280116
ref_mOTU_v3_04304	Legionella longbeachae	0	0	0	0	0	0	0	0	0.000514634	0	0	0.00455613	0	0	0	0	0	0.001081533	0	0	0	0	0	0	0.005053687	0.002177967	0	0.002876239	0	0
ref_mOTU_v3_06311	Tatlockia micdadei	0	0	0	0	0	0	0	0	0	0	0.025734686	0	0	0	0	0	0	0	0	0	0	0.003698367	0	0.014705361	0	0.000802522	0.000708422	0.000610032	0	0
ref_mOTU_v3_11445	Neisseria cinerea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22E-05	0	0	0	0	0	0	0	0	0	0.000476283	0	0.000259371	0	0	0
