ID	MetaPhlAn4_Precision	mOTUs3_Precision	Bracken_Precision	Kraken2_Precision	KrakenUniq_Precision	MAP2B_Precision	MetaPhlAn4_Recall	mOTUs3_Recall	Bracken_Recall	Kraken2_Recall	KrakenUniq_Recall	MAP2B_Recall	MetaPhlAn4_F1	mOTUs3_F1	Bracken_F1	Kraken2_F1	KrakenUniq_F1	MAP2B_F1	MetaPhlAn4_L2	mOTUs3_L2	Bracken_L2	Kraken2_L2	KrakenUniq_L2	MAP2B_L2	MetaPhlAn4_BC	mOTUs3_BC	Bracken_BC	Kraken2_BC	KrakenUniq_BC	MAP2B_BC
S_Normal_025_008M	0.96	0.923076923	0.657894737	0.735294118	0.862068966	1	0.96	0.96	1	1	1	1	0.96	0.941176471	0.793650794	0.847457627	0.925925926	1	0.9553406	0.9564899	0.9889811	0.9623635	0.961852	0.99212278	0.9571921	0.9552005	0.9860462	0.9540801	0.9528948	0.9896181
S_Normal_050_008M	0.960784314	0.962264151	0.796875	0.879310345	0.927272727	1	0.960784314	1	1	1	1	1	0.960784314	0.980769231	0.886956522	0.935779817	0.962264151	1	0.9823997	0.99196191	0.99000404	0.9892656	0.9885675	0.99746524	0.9777618	0.9807367	0.9838553	0.9806825	0.9802141	0.99421938
S_Normal_100_008M	0.98019802	0.961165049	0.970873786	0.980392157	0.99009901	1	0.99	0.99	1	1	1	0.99	0.985074627	0.975369458	0.985221675	0.99009901	0.995024876	0.994974874	0.9893217	0.99031949	0.99149581	0.99124065	0.99031136	0.9837954	0.9797597	0.9678268	0.9894096	0.987496	0.9856135	0.9803252
S_Normal_150_008M	0.972972973	0.980392157	0.931677019	0.943396226	0.986842105	1	0.96	1	1	1	1	0.94	0.966442953	0.99009901	0.964630225	0.970873786	0.993377483	0.969072165	0.9843957	0.9863002	0.9971	0.9847717	0.9845241	0.99584886	0.964941	0.9644142	0.99256095	0.9738848	0.9718038	0.9876643
S_Normal_200_008M	0.975	0.98019802	0.956730769	0.98019802	0.985	1	0.975	0.99	0.995	0.99	0.985	0.91	0.975	0.985074627	0.975490196	0.985074627	0.985	0.952879581	0.9852378	0.9868278	0.99303559	0.99168725	0.99223734	0.99764589	0.9684918	0.9573234	0.986366	0.97899	0.97868	0.99103556
S_Normal_400_008M	0.972151899	0.965601966	0.977941176	0.985185185	0.997474747	1	0.96	0.9825	0.9975	0.9975	0.9875	0.825	0.966037736	0.973977695	0.987623762	0.991304348	0.992462311	0.904109589	0.9854936	0.99084714	0.99812596	0.9864327	0.9865174	0.99624379	0.9558906	0.9414668	0.99059598	0.9760882	0.9766024	0.9798635
S_Normal_025_017M	0.962962963	0.925925926	0.666666667	0.764705882	0.201550388	1	1	0.961538462	1	1	1	1	0.981132075	0.943396226	0.8	0.866666666	0.335483872	1	0.9646969	0.9586779	0.99793203	0.99112447	0.9351271	0.99640969	0.9660595	0.9590232	0.99638285	0.9853318	0.9322601	0.99466208
S_Normal_050_017M	1	0.907407407	0.649350649	0.746268657	0.340136054	1	1	0.98	1	1	1	1	1	0.942307692	0.787401575	0.854700855	0.507614213	1	0.99420377	0.9705889	0.9805272	0.9795927	0.9783999	0.9923904	0.99198574	0.9595577	0.9810279	0.9794484	0.9778256	0.9881823
S_Normal_100_017M	0.95959596	0.952380952	0.862068966	0.917431193	0.657894737	1	0.95	1	1	1	1	1	0.954773869	0.975609756	0.925925926	0.956937799	0.793650794	1	0.9652506	0.9737768	0.9897119	0.989274	0.9887259	0.99450908	0.9468552	0.9566848	0.9888244	0.9848461	0.9843507	0.9893902
S_Normal_150_017M	0.946666667	0.954545455	0.82320442	0.86627907	0.579766537	1	0.946666667	0.98	0.993333333	0.993333333	0.993333333	0.99333333	0.946666667	0.967105263	0.900302115	0.925465838	0.732186732	0.996655517	0.9478434	0.9888608	0.9876474	0.9851807	0.9824455	0.99585596	0.899711	0.9698156	0.9792001	0.9645617	0.9603185	0.9890931
S_Normal_200_017M	0.980099502	0.957142857	0.971014493	0.980487805	0.881578947	1	0.980099502	1	1	1	1	0.99502488	0.980099502	0.97810219	0.985294118	0.990147783	0.937062937	0.997506237	0.9719605	0.99057123	0.99533521	0.99448751	0.99392742	0.99706853	0.946119	0.9681332	0.99011142	0.985412	0.9840824	0.99116041
S_Normal_400_017M	0.967336683	0.946731235	0.966183575	0.975550122	0.888641425	1	0.960099751	0.975062344	0.997506234	0.995012469	0.995012469	0.97755611	0.963704631	0.960687961	0.981595092	0.985185185	0.938823529	0.988650694	0.9840366	0.9875784	0.99670867	0.99527306	0.9932464	0.99761522	0.9528018	0.9433189	0.9875149	0.9806311	0.9757018	0.9876612
S_Normal_025_034M	1	0.923076923	0.641025641	0.675675676	0.316455696	1	1	0.96	1	1	1	1	1	0.941176471	0.78125	0.806451613	0.480769231	1	0.9969597	0.9830536	0.99068557	0.9675827	0.960756	0.9892344	0.99515559	0.9809348	0.99037467	0.9681956	0.9457183	0.9855603
S_Normal_050_034M	0.98	0.961538462	0.757575758	0.793650794	0.526315789	1	0.98	1	1	1	1	1	0.98	0.980392157	0.862068966	0.884955752	0.689655172	1	0.9868863	0.99185309	0.9859679	0.9822278	0.9809061	0.99093726	0.9805346	0.9870664	0.9811454	0.9707667	0.9686549	0.9884493
S_Normal_100_034M	0.97029703	0.98019802	0.970873786	0.980392157	0.819672131	1	0.98	0.99	1	1	1	1	0.975124378	0.985074627	0.985221675	0.99009901	0.900900901	1	0.99451156	0.99127694	0.99579798	0.99460597	0.99414143	0.99671602	0.9890783	0.9812972	0.99274688	0.9874262	0.9868234	0.99181949
S_Normal_150_034M	0.979865772	0.95483871	0.943396226	0.955414013	0.78125	1	0.973333333	0.986666667	1	1	1	1	0.976588629	0.970491803	0.970873786	0.977198697	0.877192982	1	0.99068031	0.9731492	0.99732762	0.99623578	0.9676986	0.99498622	0.9799727	0.9480713	0.99411795	0.9894236	0.9632182	0.9876471
S_Normal_200_034M	0.955	0.96097561	0.896396396	0.943127962	0.678082192	1	0.955	0.985	0.995	0.995	0.99	1	0.955	0.972839506	0.943127962	0.96836983	0.804878049	1	0.9708813	0.9862631	0.9877137	0.9861095	0.9847284	0.99659173	0.9515204	0.9627168	0.9792622	0.9708627	0.9632692	0.99077692
S_Normal_400_034M	0.97	0.95631068	0.952494062	0.966183575	0.836820084	1	0.967581047	0.982543641	1	0.997506234	0.997506234	0.9925187	0.968789014	0.969249692	0.9756691	0.981595092	0.910125142	0.996245305	0.9824842	0.9894354	0.9894796	0.9890243	0.9877255	0.99768447	0.9522883	0.9562429	0.9803071	0.9743856	0.9713514	0.99020602
S_Normal_025_068M	1	0.896551724	0.866666667	0.962962963	0.962962963	1	1	1	1	1	1	1	1	0.945454545	0.928571429	0.981132075	0.981132075	1	0.99720721	0.946219	0.999436611	0.99798893	0.9624836	0.9898325	0.99492611	0.9420338	0.99885854	0.99654413	0.9633344	0.986944
S_Normal_050_068M	0.941176471	0.927272727	0.86440678	0.879310345	0.962264151	1	0.941176471	1	1	1	1	1	0.941176471	0.962264151	0.927272727	0.935779817	0.980769231	1	0.939	0.9891999	0.99680024	0.99441318	0.99423876	0.9869706	0.9250022	0.9856134	0.9948375	0.9884436	0.9884125	0.9813195
S_Normal_100_068M	0.97	0.869565217	0.884955752	0.934579439	0.943396226	1	0.97	1	1	1	1	1	0.97	0.930232558	0.938967136	0.966183575	0.970873786	1	0.9676531	0.99093214	0.99769054	0.9866343	0.9856603	0.99486785	0.957888	0.9800601	0.9945087	0.9782874	0.9758387	0.9887954
S_Normal_150_068M	0.953020134	0.974193548	0.932098765	0.967948718	0.986928105	1	0.940397351	1	1	1	1	1	0.946666667	0.986928105	0.96485623	0.983713355	0.993421053	1	0.955782	0.99603428	0.9963868	0.99466216	0.9950432	0.99659352	0.9287076	0.9868528	0.99201767	0.9849322	0.9861575	0.99032691
S_Normal_200_068M	0.96039604	0.921658986	0.922018349	0.939252336	0.985294118	0.9950495	0.965174129	0.995024876	1	1	1	1	0.962779156	0.956937799	0.959427208	0.968674699	0.992592593	0.997518608	0.9516949	0.9801803	0.9943126	0.99205851	0.99210121	0.99570089	0.9351843	0.9705435	0.9847279	0.9767157	0.9771611	0.9895297
