Species	Simul_Mutation_0.01_010_15M	Simul_Mutation_0.01_010_30M	Simul_Mutation_0.01_010_45M	Simul_Mutation_0.01_020_15M	Simul_Mutation_0.01_020_30M	Simul_Mutation_0.01_020_45M	Simul_Mutation_0.01_050_15M	Simul_Mutation_0.01_050_30M	Simul_Mutation_0.01_050_45M	Simul_Mutation_0.01_100_15M	Simul_Mutation_0.01_100_30M	Simul_Mutation_0.01_100_45M	Simul_Mutation_0.01_150_15M	Simul_Mutation_0.01_150_30M	Simul_Mutation_0.01_150_45M	Simul_Mutation_0.01_200_15M	Simul_Mutation_0.01_200_30M	Simul_Mutation_0.01_200_45M	Simul_Mutation_0.01_250_15M	Simul_Mutation_0.01_250_30M	Simul_Mutation_0.01_250_45M	Simul_Mutation_0.01_300_15M	Simul_Mutation_0.01_300_30M	Simul_Mutation_0.01_300_45M	Simul_Mutation_0.01_500_15M	Simul_Mutation_0.01_500_30M	Simul_Mutation_0.01_500_45M	Simul_Mutation_0.02_010_15M	Simul_Mutation_0.02_010_30M	Simul_Mutation_0.02_010_45M	Simul_Mutation_0.02_020_15M	Simul_Mutation_0.02_020_30M	Simul_Mutation_0.02_020_45M	Simul_Mutation_0.02_050_15M	Simul_Mutation_0.02_050_30M	Simul_Mutation_0.02_050_45M	Simul_Mutation_0.02_100_15M	Simul_Mutation_0.02_100_30M	Simul_Mutation_0.02_100_45M	Simul_Mutation_0.02_150_15M	Simul_Mutation_0.02_150_30M	Simul_Mutation_0.02_150_45M	Simul_Mutation_0.02_200_15M	Simul_Mutation_0.02_200_30M	Simul_Mutation_0.02_200_45M	Simul_Mutation_0.02_250_15M	Simul_Mutation_0.02_250_30M	Simul_Mutation_0.02_250_45M	Simul_Mutation_0.02_300_15M	Simul_Mutation_0.02_300_30M	Simul_Mutation_0.02_300_45M	Simul_Mutation_0.02_500_15M	Simul_Mutation_0.02_500_30M	Simul_Mutation_0.02_500_45M	Simul_Mutation_0.03_010_15M	Simul_Mutation_0.03_010_30M	Simul_Mutation_0.03_010_45M	Simul_Mutation_0.03_020_15M	Simul_Mutation_0.03_020_30M	Simul_Mutation_0.03_020_45M	Simul_Mutation_0.03_050_15M	Simul_Mutation_0.03_050_30M	Simul_Mutation_0.03_050_45M	Simul_Mutation_0.03_100_15M	Simul_Mutation_0.03_100_30M	Simul_Mutation_0.03_100_45M	Simul_Mutation_0.03_150_15M	Simul_Mutation_0.03_150_30M	Simul_Mutation_0.03_150_45M	Simul_Mutation_0.03_200_15M	Simul_Mutation_0.03_200_30M	Simul_Mutation_0.03_200_45M	Simul_Mutation_0.03_250_15M	Simul_Mutation_0.03_250_30M	Simul_Mutation_0.03_250_45M	Simul_Mutation_0.03_300_15M	Simul_Mutation_0.03_300_30M	Simul_Mutation_0.03_300_45M	Simul_Mutation_0.03_500_15M	Simul_Mutation_0.03_500_30M	Simul_Mutation_0.03_500_45M
Acidipila_rosea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000508763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acidobacterium_capsulatum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013293801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Edaphobacter_aggregans	0	0	0.096749688	0	0	0	0	0	0	0	0.018976274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00545967	0	0	0	0	0	0.000769291
Edaphobacter_modestus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007708367	0	0	0
Granulicella_A_mallensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000352681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicella_C_pectinivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003519737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicella_C_sibirica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001524999	0	0	0	0	0	0	0	0	0	0	0	0
Granulicella_C_tundricola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002795764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silvibacterium_bohemicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001105023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00243778	0	0	0	0
Silvibacterium_dinghuense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000510692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
