SpeciesID	sample_1
taxid_79885	0
taxid_287	0
taxid_485	0
taxid_1097	0
taxid_339	0
taxid_83557	0
taxid_536	0
taxid_157673	0
taxid_251701	0
taxid_32025	0
taxid_35554	0
taxid_158	0
taxid_2151	0
taxid_414	0
taxid_63363	0
taxid_915	0
taxid_59754	0
taxid_2734	0
taxid_83556	0
taxid_84159	0
taxid_72000	0
taxid_173480	0
taxid_410330	0
taxid_837	0
taxid_7	0
taxid_1911	0
taxid_197162	0
taxid_28227	0
taxid_182710	0
taxid_152794	0
taxid_33072	0
taxid_89184	0
taxid_42862	0
taxid_229545	0
taxid_334543	0
taxid_2021	0
taxid_259537	0
taxid_1100	0
taxid_944	0
taxid_337090	0
taxid_34	0
taxid_913	0
taxid_2095	0
taxid_1229	0
taxid_821	0
taxid_823	0
taxid_129958	0
taxid_19	0
taxid_28232	0
taxid_39766	0
taxid_158327	0
taxid_81032	0
taxid_951	0
taxid_1502	0
taxid_48935	0
taxid_106370	0
taxid_316277	0
taxid_192843	0
taxid_36873	0
taxid_86304	0
taxid_192073	0
taxid_912	0
taxid_117207	0
taxid_985	0
taxid_49319	0
taxid_288	0
taxid_1206	0
taxid_1596	0
taxid_1255	0
taxid_56812	0
taxid_916	0
taxid_351052	0
taxid_644	0
taxid_1124597	0
taxid_404011	0
taxid_119484	0
taxid_1772	0
taxid_28049	0
taxid_29543	0
taxid_60478	0
taxid_357794	0
taxid_110539	0
taxid_216465	0
taxid_364317	0
taxid_1053	0
taxid_105560	0
taxid_359303	0
taxid_1094	0
taxid_59610	0
taxid_34018	0
taxid_576611	0
taxid_168695	0
taxid_44001	0
taxid_986	0
taxid_351604	0
taxid_208226	0
taxid_67854	0
taxid_284016	0
taxid_131568	0
taxid_200	0
taxid_2424	0
taxid_256618	0
taxid_76517	0
taxid_280	0
taxid_120962	0
taxid_177758	0
taxid_155978	0
taxid_215813	0
taxid_786	0
taxid_168697	0
taxid_70864	0
taxid_461876	0
taxid_181663	0
taxid_69499	0
taxid_66219	0
taxid_1108	0
taxid_1646	0
taxid_2337	0
taxid_35701	0
taxid_201	0
taxid_28110	0
taxid_134821	0
taxid_511746	0
taxid_31998	0
taxid_34029	0
taxid_533	0
taxid_332410	0
taxid_107709	0
taxid_375929	0
taxid_272131	0
taxid_148447	0
taxid_423605	0
taxid_329	0
taxid_239935	0
taxid_2296	0
taxid_313985	0
taxid_1092	0
taxid_31909	0.0127060614030454
taxid_274539	0
taxid_100716	0
taxid_39491	0
taxid_1102	0
taxid_34090	0
taxid_310783	0
taxid_225194	0
taxid_35786	0
taxid_14	0
taxid_28262	0
taxid_2421	0
taxid_33996	0
taxid_309806	0
taxid_309805	0
taxid_513050	0
taxid_500	0
taxid_244787	0
taxid_199596	0
taxid_1061	0
taxid_152260	0
taxid_1033854	0
taxid_85085	0
taxid_1521	0
taxid_114616	0
taxid_161493	0
taxid_1203471	0
taxid_31899	0
taxid_950	0
taxid_33075	0
taxid_33045	0
taxid_43948	0
taxid_84757	0
taxid_94254	0
taxid_161879	0
taxid_1270	0
taxid_899	0
taxid_40567	0
taxid_53635	0
taxid_1018	0
taxid_651457	0
taxid_43669	0
taxid_880	0
taxid_398743	0
taxid_554	0
