SpeciesID	sample_1
Streptococcus_pneumoniae	0.000323868801142874
Xanthomonas_vasicola	0
Vibrio_cholerae	0
Vibrio_anguillarum	0.000476772673739475
Klebsiella_A_grimontii	0
Lacticaseibacillus_paracasei	0
Salmonella_enterica	0
SCGC-AAA471-B05_sp000380705	0
Staphylococcus_epidermidis	0.00859606715202032
Bacillus_velezensis	0
Brachyspira_aalborgi	0
Bacteroides_faecis	0
Eubacterium_F_sp003491505	0
Akkermansia_muciniphila	0
Blautia_A_sp000436615	0
Phocaeicola_sp900554435	0
Streptococcus_suis_F	0
Clostridioides_difficile	0
Enterocloster_bolteae	0.00561385960336413
Helicobacter_pylori_BU	0
Cutibacterium_acnes	0
Mycobacterium_abscessus	0
Klebsiella_pneumoniae	0
Prochlorococcus_A_sp000635495	0
Prochlorococcus_A_sp001989455	0
Geobacillus_thermoleovorans	0
Mycobacterium_tuberculosis	0
Bifidobacterium_thermophilum	0.00150307109067418
AcAMD-5_sp002293025	0
Clostridium_F_botulinum	0
Vibrio_parahaemolyticus	0
Bacillus_intestinalis	0
Pseudomonas_E_amygdali	0
Citrobacter_B_koseri	0
Escherichia_flexneri	0
Thiomonas_arsenitoxydans	0
Phascolarctobacterium_faecium	0
UBA9973_sp000989515	0.000945924062244716
GWA1-44-29_sp001001285	0
GWA2-43-13_sp000999025	0
GWA1-44-25_sp001780725	0.000235439279395133
UBA10133_sp003531665	0
Intestinibacter_bartlettii	0
Bacillus_A_bombysepticus	0
Methylobacterium_fujisawaense	0
Caulobacter_rhizosphaerae	0.00404076744598394
Mycobacterium_fortuitum	0
Xanthomonas_citri	0.00933844606681556
Thermodesulfobacterium_commune	0
Vulcanisaeta_sp001516765	0
Bifidobacterium_longum	0
Methanothrix_A_sp001602645	0
Fermentibacter_daniensis	0
Geobacillus_stearothermophilus	0
Alteromonas_abrolhosensis	0
MED-G52_sp001627375	0
Ligilactobacillus_aviarius_B	0
Bacillus_subtilis	0
Campylobacter_fetus	0
Paramuribaculum_sp001701115	0
Devosia_sp001899045	0
Tahibacter_sp001725155	0.00451618519289779
Campylobacter_D_jejuni	0
UBA9655_sp001767835	0
GWE2-42-39_sp003506435	0
Hydrogenophaga_sp003509765	0
UBA12044_sp000989675	0
GWB1-41-6_sp000997355	0
UBA9936_sp001774105	0
GWC1-40-35_sp001775095	0
GWB1-36-5_sp001776785	0
UBA9644_sp003519445	0
2-01-FULL-46-14_sp001777515	0
2-01-FULL-46-13_sp001778905	0
UBA12049_sp001784155	0
C7867-001_sp001783465	0.000381148635752351
2-02-FULL-37-13_sp001782195	0
2-12-FULL-55-11_sp001787585	0
UBA12472_sp003487265	0
WO2-54-10_sp001820725	0
C7867-006_sp001825395	0
2-12-FULL-39-13_sp001824485	0
UBA10102_sp001825035	0
Scalindua_sp001828595	0
UBA8525_sp002839335	0
UBA5619_sp001830835	0
Streptococcus_iniae	0
Huberarchaeum_crystalense	0
Tepidanaerobacter_syntrophicus	0
Rhodanobacter_sp001899565	0
Clostridium_P_perfringens	0
TF01-11_sp001916135	0
Methanolinea_sp11423u	0
Methanospirillum_hungatei	0.00579014868564571
Serratia_nematodiphila	0
Parageobacillus_thermoglucosidasius	0
SW10_sp002420315	0
Sphingorhabdus_B_sp002255985	0
Polaromonas_sp002256925	0
Leptospira_interrogans	0
UBA956_sp002293145	0.00684218129956321
MS024-2A_sp002292265	0
Stenotrophomonas_maltophilia	0
Alcanivorax_sp002354605	0
RC9_sp002298075	0
UBA1067_sp002298665	0
Pseudodesulfovibrio_profundus	0
UBA6944_sp002296525	0
Cronobacter_turicensis	0
Acinetobacter_nosocomialis	0
CG1-02-49-23_sp002791545	0
UBA2030_sp002332755	0
UBA4588_sp002387605	0
Pseudomonas_A_stutzeri	0
