ID	Mutation_0.01_P	Mutation_0.02_P	Mutation_0.03_P	RM_1K_P	RM_5K_P	RM_10K_P	Mutation_0.01_R	Mutation_0.02_R	Mutation_0.03_R	RM_1K_R	RM_5K_R	RM_10K_R	Mutation_0.01_F	Mutation_0.02_F	Mutation_0.03_F	RM_1K_F	RM_5K_F	RM_10K_F	Mutation_0.01_L2	Mutation_0.02_L2	Mutation_0.03_L2	RM_1K_L2	RM_5K_L2	RM_10K_L2	Mutation_0.01_BC	Mutation_0.02_BC	Mutation_0.03_BC	RM_1K_BC	RM_5K_BC	RM_10K_BC
Simul_010_15M_Truth_Tax	1	1	0.909090909	0.846153846	0.769230769	0.769230769	1	1	1	1	1	1	1	1	0.952380952	0.916666667	0.869565217	0.869565217	0.99552138	0.99394824	0.9658373	0.9528543	0.950618	0.983131	0.99491938	0.99415931	0.9700406	0.9357938	0.9366174	0.9788249
Simul_020_15M_Truth_Tax	1	1	1	0.869565217	0.904761905	0.772727273	1	1	1	0.952380952	1	1	1	1	1	0.909090909	0.95	0.871794872	0.99656397	0.9971317	0.99076524	0.9590855	0.9745839	0.893687	0.99465769	0.99608808	0.9886681	0.9470486	0.9625631	0.887301
Simul_050_15M_Truth_Tax	1	1	1	1	0.913043478	0.95	1	1	1	0.96	1	1	1	1	1	0.979591837	0.954545455	0.974358974	0.99657702	0.9925	0.9946824	0.9589396	0.9725657	0.9311856	0.99313105	0.9892266	0.99062443	0.9206102	0.9632809	0.9130275
Simul_100_15M_Truth_Tax	1	0.980582524	1	0.97029703	0.953846154	0.953125	0.99009901	1	0.97	0.97029703	0.953846154	0.968253968	0.995024876	0.990196078	0.984771574	0.97029703	0.953846154	0.960629921	0.99673762	0.99610881	0.9964951	0.9791319	0.9480152	0.9718922	0.99096509	0.9890356	0.99050806	0.9417009	0.9254251	0.954734
Simul_150_15M_Truth_Tax	1	1	1	0.955128205	0.988636364	0.964705882	0.986666667	0.973509934	0.960264901	0.993333333	0.956043956	0.931818182	0.993288591	0.986577181	0.97972973	0.973856209	0.972067039	0.947976879	0.9959027	0.99634623	0.9977681	0.9574025	0.9418413	0.933814	0.9890845	0.9888091	0.9918445	0.899728	0.925658	0.9135149
Simul_200_15M_Truth_Tax	1	1	1	0.989417989	0.990909091	0.989583333	0.96	0.930348259	0.905	0.930348259	0.96460177	0.940594059	0.979591837	0.963917526	0.950131234	0.958974359	0.977578475	0.964467005	0.99732666	0.9894269	0.99409522	0.9859304	0.9538059	0.9495515	0.99083277	0.9803249	0.9811908	0.9394496	0.9380478	0.9273425
Simul_250_15M_Truth_Tax	1	1	1	0.995633188	0.97826087	0.991869919	0.944	0.952	0.892	0.912	0.918367347	0.93129771	0.971193416	0.975409836	0.942917548	0.951983299	0.947368421	0.960629921	0.9963904	0.99656793	0.99478471	0.9790974	0.9572702	0.9346889	0.9860814	0.9861349	0.9772585	0.9203336	0.926886	0.9223352
Simul_300_15M_Truth_Tax	1	1	1	0.992805755	0.987421384	0.970588235	0.890365449	0.903654485	0.81	0.92	0.918128655	0.897959184	0.942003515	0.94938918	0.895027624	0.955017301	0.951515152	0.932862191	0.99563429	0.9960004	0.9893917	0.9853081	0.9714532	0.9193812	0.9817863	0.9820836	0.9627136	0.9322315	0.9423145	0.898993
Simul_500_15M_Truth_Tax	1	1	1	0.997624703	0.994791667	0.995024876	0.872255489	0.788	0.720558882	0.841683367	0.848888889	0.809716599	0.931769723	0.881431767	0.837587007	0.913043478	0.916067146	0.892857143	0.99536775	0.99338504	0.99046575	0.9778971	0.9690835	0.9449549	0.9730557	0.9526395	0.927514	0.884182	0.9386326	0.9212021
Simul_010_30M_Truth_Tax	0.909090909	1	1	0.785714286	0.75	0.5625	1	1	1	1	1	1	0.952380952	1	1	0.88	0.857142857	0.72	0.99549859	0.99429229	0.99028926	0.9757186	0.9649757	0.885814	0.99503779	0.9939589	0.9888892	0.9762186	0.9657093	0.887729
