trys	classifer	names	names2	Rank	accuracy	precision	recall	F1	PR	F1_score
try_0	ADA	Log_1725	ADALog_1725	M01_Log_1725	0.986617867	0.901303018	0.921228324	0.90958625	0.831007478	0.94203276
try_1	ADA	Log_1725	ADALog_1725	M01_Log_1725	0.986585516	0.904554337	0.917724143	0.909213881	0.830504268	0.943790811
try_2	ADA	Log_1725	ADALog_1725	M01_Log_1725	0.986748845	0.903361769	0.919771195	0.909758189	0.831557635	0.94321589
try_3	ADA	Log_1725	ADALog_1725	M01_Log_1725	0.987210271	0.907008213	0.922231467	0.913180954	0.837493972	0.945411346
try_4	ADA	Log_1725	ADALog_1725	M01_Log_1725	0.98678554	0.906131123	0.919102748	0.911031	0.833776169	0.944740048
try_0	ADA	Log_72346	ADALog_72346	M02_Log_72346	0.985433107	0.877311398	0.938324005	0.905390553	0.824705127	0.928234328
try_1	ADA	Log_72346	ADALog_72346	M02_Log_72346	0.986054922	0.882061656	0.94092646	0.909082614	0.831533555	0.93116377
try_2	ADA	Log_72346	ADALog_72346	M02_Log_72346	0.986098252	0.880120822	0.944460901	0.910024144	0.833244367	0.930100454
try_3	ADA	Log_72346	ADALog_72346	M02_Log_72346	0.985331625	0.87674559	0.93648859	0.90415447	0.822714473	0.927872539
try_4	ADA	Log_72346	ADALog_72346	M02_Log_72346	0.985927711	0.881864535	0.938324005	0.907689119	0.829479143	0.930997207
try_0	ADA	Log_173	ADALog_173	M03_Log_173	0.984109566	0.895273847	0.925425751	0.907844553	0.829397567	0.937592139
try_1	ADA	Log_173	ADALog_173	M03_Log_173	0.983802692	0.893862622	0.923528562	0.90639085	0.826625249	0.936678595
try_2	ADA	Log_173	ADALog_173	M03_Log_173	0.984537461	0.900382244	0.9266577	0.911100544	0.834946902	0.940581231
try_3	ADA	Log_173	ADALog_173	M03_Log_173	0.98404402	0.898114845	0.921667577	0.907383568	0.82846366	0.939117902
try_4	ADA	Log_173	ADALog_173	M03_Log_173	0.983873594	0.891592992	0.922296613	0.905046485	0.823973586	0.935463002
try_0	ADA	Log_17234	ADALog_17234	M04_Log_17234	0.985310118	0.892108294	0.922693964	0.904866176	0.82428968	0.936395769
try_1	ADA	Log_17234	ADALog_17234	M04_Log_17234	0.984801614	0.884481395	0.922614397	0.90098556	0.817553433	0.931949524
try_2	ADA	Log_17234	ADALog_17234	M04_Log_17234	0.984609789	0.884292968	0.919531242	0.899294035	0.815027432	0.931759033
try_3	ADA	Log_17234	ADALog_17234	M04_Log_17234	0.984926477	0.888143584	0.920888728	0.901902737	0.819273489	0.934034609
try_4	ADA	Log_17234	ADALog_17234	M04_Log_17234	0.985045478	0.889382233	0.920852863	0.902368969	0.819816465	0.934772722
try_0	ADA	Log_17235	ADALog_17235	M05_Log_17235	0.984311909	0.893707156	0.914426149	0.902278234	0.818392689	0.936823926
try_1	ADA	Log_17235	ADALog_17235	M05_Log_17235	0.984709498	0.892490287	0.915198814	0.901877031	0.817966032	0.936334715
try_2	ADA	Log_17235	ADALog_17235	M05_Log_17235	0.984360164	0.890638216	0.911528803	0.899462462	0.813613142	0.93515684
try_3	ADA	Log_17235	ADALog_17235	M05_Log_17235	0.984805311	0.895062094	0.913633673	0.902435709	0.818847132	0.937791571
try_4	ADA	Log_17235	ADALog_17235	M05_Log_17235	0.985019695	0.893257187	0.919472785	0.904223562	0.82178033	0.93689693
try_0	ADA	Log_1726	ADALog_1726	M06_Log_1726	0.984420933	0.883114668	0.923157829	0.900142967	0.815851718	0.931020073
try_1	ADA	Log_1726	ADALog_1726	M06_Log_1726	0.984462417	0.8817387	0.920280862	0.898669082	0.812579473	0.930273381
try_2	ADA	Log_1726	ADALog_1726	M06_Log_1726	0.984669732	0.880825199	0.925318679	0.900321636	0.815968802	0.929857164
